row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,POS_D5-227-C3-a_Run274.mzML Peak area,POS_D5-227-C3-b_Run277.mzML Peak area,POS_D5-227-C3-c_Run280.mzML Peak area,
603,80.94789451896669,10.183368,,,,,,,,,,,930464.2,849612.6,815978.7,416123.47,414292.3,429466.9,
407,80.94793200014452,7.78607,,,,17,,,,,,,608120.56,878339.6,868997.2,296615.75,398803.2,342337.66,
443,80.94794327036554,7.8759923,,,,45,,,,,,,554205.44,766733.0,662708.0,163270.11,236408.1,376102.3,
311,80.94795161269116,7.373634,,,,2,,,,,,,453578.38,605250.75,696817.56,283875.9,330464.84,354276.53,
702,81.52054846797988,10.482188,,,,40,,,,,,,2.9259034E7,2.7274882E7,2.7966768E7,3.1782304E7,3.0821436E7,2.4005242E7,
27,84.95980942238923,0.43630743,,,,,,,,,,,4124307.8,2980972.5,1.0379863E7,3001941.5,1.0373129E7,4445511.0,
44,89.05980230982652,2.744067,,,,,,,,,,,1227202.5,457790.88,361792.6,297977.25,590428.9,406197.72,
639,89.50669769427289,10.324778,,,,33,,,,,,,1.1433834E7,1.144064E7,1.2806039E7,1.7409558E7,1.3937761E7,7513609.5,
664,90.50673102015234,10.363681,,,,33,,,,,,,4638022.0,4709399.5,4725757.5,4710613.5,4686433.5,4653700.5,
705,90.52592826060874,10.496974,,,,40,,,,,,,4.135648E7,4.0922364E7,3.760239E7,4.5133364E7,2.8498852E7,2.9383678E7,
9,90.94777516730785,0.04953977,,,,,,,,,,,153183.02,267333.75,97101.77,250291.42,135766.28,891229.4,
21,90.94778556790243,0.33839032,,,,,,,,,,,141321.28,102694.09,88057.0,299218.16,207127.38,736754.25,
673,91.5044342594136,10.36966,,,,33,,,,,,,1763337.5,1792999.4,1804893.0,1790390.9,1805199.0,1780187.0,
691,94.04514365672594,10.441756,,,,40,,,,,,,4939875.0,4974401.0,4732135.5,5163483.0,5232394.0,5248373.0,
643,97.51444934765055,10.327332,,,,33,,,,,,,1388868.0,1307722.9,1278102.9,1506767.8,1337348.8,819461.56,
8,97.96884542589441,0.036851082,,,,0,,,,,,,84880.164,110124.95,114579.016,376339.7,424714.2,247878.27,
11,97.96884985655322,0.17780851,,,,,,,,,,,67099.945,25567.146,134783.7,63954.99,101653.35,32830.555,
20,97.96886020141675,0.32172567,,,,25,,,,,,,189730.44,158515.05,188352.1,332728.66,418934.66,384303.1,
708,97.99140313864451,10.512788,,,,40,,,,,,,9013835.0,9588389.0,9387882.0,8893190.0,5205140.0,7995336.0,
640,98.51208401257217,10.324782,,,,33,,,,,,,2.2551964E7,2.3580524E7,2.2928398E7,2.442087E7,2.5709406E7,1.3175156E7,
604,101.07098726737475,10.175799,,,,12,,,,,,,2138950.8,2082775.5,2031272.8,1785833.0,1848094.9,1793434.0,
699,102.03391121554792,10.478638,,,,40,,,,,,,1.3853955E8,1.4028165E8,1.4515152E8,1.5211029E8,1.518652E8,1.552221E8,
698,102.53547829195948,10.478637,,,,40,,,,,,,1.1980027E7,1.2205041E7,1.2592613E7,1.3203509E7,1.3141997E7,1.3346884E7,
704,104.0302650113728,10.488022,,,,40,,,,,,,3202513.0,3615046.0,3703096.5,3900651.5,3882789.5,3999660.2,
159,105.03355998245046,5.6750627,,,,3,,,,,,,1846915.0,2467678.5,2597630.5,3193727.8,2723145.2,2886442.0,
644,109.02249902866396,10.328342,,,,33,,,,,,,5669208.0,7381046.5,5644671.0,8003523.0,6589877.5,6530434.0,
684,109.52173008829978,10.381644,,,,33,,,,,,,4941068.0,5096003.0,5259094.5,5101978.0,4799417.0,4866031.0,
642,110.0201146170718,10.325653,,,,33,,,,,,,8.930242E7,9.046508E7,9.133548E7,1.27935384E8,1.03989256E8,1.0393142E8,
641,110.5217730647705,10.324853,,,,33,,,,,,,6615303.0,6168187.0,7821718.5,7563099.0,7956809.5,4263045.5,
671,111.02022607629654,10.367911,,,,33,,,,,,,7.915511E7,7.939425E7,8.0734264E7,7.9066776E7,7.87078E7,7.8366856E7,
