row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C3-b_Run149.mzML Peak area,NEG_D5-211-C3-c_Run152.mzML Peak area,NEG_D5-211-C3-a_Run146.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
642,80.94785059316085,10.182521,,,,,,,,,,,0,0,0,849612.6,930464.2,815978.7,
345,80.94789550624331,7.77153,,,,26,,,,,,,0,0,0,878339.6,608120.56,868997.2,
378,80.94789805124314,7.8716245,,,,48,,,,,,,0,0,0,766733.0,554205.44,662708.0,
268,80.94791555914603,7.374944,,,,2,,,,,,,0,0,0,605250.75,453578.38,696817.56,
754,81.52050967563817,10.492288,,,,44,,,,,,,0,0,0,2.7274882E7,2.9259034E7,2.7966768E7,
20,84.95978609001521,0.43599412,,,,,,,,,,,0,0,0,2880147.2,4203904.0,1.0379863E7,
33,89.05977239449372,2.7459037,,,,,,,,,,,0,0,0,462431.1,1227202.5,361792.6,
686,89.50665340911765,10.333573,,,,22,,,,,,,0,0,0,1.144064E7,1.1433834E7,1.2806039E7,
713,90.50668872766512,10.374984,,,,22,,,,,,,0,0,0,4709399.5,4638022.0,4725757.5,
760,90.52588585570724,10.506519,,,,44,,,,,,,0,0,0,4.0922364E7,4.135648E7,3.760239E7,
716,91.50438987445585,10.376733,,,,22,,,,,,,0,0,0,1792999.4,1763337.5,1804893.0,
737,94.04510039170087,10.450604,,,,,,,,,,,0,0,0,4974401.0,4939875.0,4732135.5,
19,96.96004664056063,0.4269909,,,,,,,,,,,1410191.4,1455232.5,1571317.6,0,0,0,
776,96.96006337393742,11.131219,,,,,,,,,,,1586910.5,1621496.2,1648485.6,0,0,0,
685,97.51440243356647,10.333434,,,,22,,,,,,,0,0,0,1307722.9,1388868.0,1278102.9,
763,97.99136005878262,10.527814,,,,44,,,,,,,0,0,0,9588389.0,9013835.0,9387882.0,
681,98.51203785799709,10.331832,,,,22,,,,,,,0,0,0,2.3580524E7,2.2551964E7,2.2928398E7,
554,99.92572319143449,8.950196,,,,40,,,,,,,5.445568E7,5.6982612E7,6.3282332E7,0,0,0,
592,101.98080296027008,8.967687,,,,40,,,,,,,2856296.0,2776463.0,3365448.2,0,0,0,
748,102.03386413707945,10.483439,,,,44,,,,,,,0,0,0,1.4028165E8,1.3853955E8,1.4515152E8,
749,102.53543267308315,10.485185,,,,44,,,,,,,0,0,0,1.2205041E7,1.1980027E7,1.2592613E7,
606,102.95673958432378,8.967687,,,,,,,,,,,707047.6,682011.1,700181.2,0,0,0,
643,102.95679817102375,10.188525,,,,,,,,,,,1576432.2,1587249.5,1560613.4,0,0,0,
753,104.03021741467593,10.491948,,,,44,,,,,,,0,0,0,3615046.0,3202513.0,3703096.5,
134,105.03351278378551,5.675162,,,,17,,,,,,,0,0,0,2467678.5,1846915.0,2597630.5,
691,109.02244721824752,10.338952,,,,22,,,,,,,0,0,0,7381046.5,5669208.0,5644671.0,
730,109.52167766410908,10.41111,,,,22,,,,,,,0,0,0,5096003.0,4941068.0,5259094.5,
682,110.02006318968085,10.331832,,,,22,,,,,,,0,0,0,9.046508E7,8.930242E7,9.133548E7,
688,110.52174245747968,10.33548,,,,22,,,,,,,0,0,0,6168187.0,6615303.0,7821718.5,
717,111.02017824823547,10.376733,,,,22,,,,,,,0,0,0,7.939425E7,7.915511E7,8.0734264E7,
765,111.03900516687044,10.534823,,,,44,,,,,,,0,0,0,1.2155978E7,1.0615713E7,1.1574239E7,
710,111.51890979475267,10.373242,,,,22,,,,,,,0,0,0,2008572.1,1924844.1,2014142.6,
