ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	999613.6666666667	664226.4766666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"56","main.cluster index_upperinput":"56"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5029	0.5029	0	N/A	N/A	4991520.430000001	6	56	-1	 	6	-87.0243	-1	89.0243	4991520.430000001
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	518583.58	540703.6233333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"13","main.cluster index_upperinput":"13"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3498	0.3498	0	N/A	N/A	3177861.6099999994	6	13	-1	 	6	-90.9279	-1	92.9279	3177861.6099999994
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	116087.86666666665	14789.896	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3211","main.cluster index_upperinput":"3211"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2679	10.2679	0	N/A	N/A	392633.288	2	3211	-1	 	2	-90.9280	-1	92.9280	392633.288
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	168791.90433333334	251048.76333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1438","main.cluster index_upperinput":"1438"}	This Node is a Singleton	N/A	N/A	N/A	 	5.9363	5.9363	0	N/A	N/A	1259522.003	5	1438	-1	 	5	-94.9600	-1	96.9600	1259522.003
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	3828139.7666666666	3788889.933333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3301","main.cluster index_upperinput":"3301"}	This Node is a Singleton	N/A	N/A	N/A	 	11.0290	11.0290	0	N/A	N/A	22851089.1	6	3301	-1	 	6	-94.9600	-1	96.9600	22851089.1
EXP,CTRL	 	 	81.0	0.0	0.0	0.0	0.0	0.0	0.0	4042716.6	2973498.2666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3431	0.3431	0	N/A	N/A	21048644.6	6	11	-1	 	6	-94.9601	-1	96.9601	21048644.6
EXP,CTRL	 	 	81.0	0.0	0.0	0.0	0.0	0.0	0.0	3258430.1666666665	3771474.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"42","main.cluster index_upperinput":"42"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3905	0.3905	0	N/A	N/A	21089714.0	6	42	-1	 	6	-94.9695	-1	96.9695	21089714.0
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	6337122.166666667	39252891.333333336	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2961","main.cluster index_upperinput":"2961"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4540	8.4540	0	N/A	N/A	136770040.5	6	2961	-1	 	6	-97.9258	-1	99.9258	136770040.5
EXP,CTRL	 	 	7.0	0.0	0.0	0.0	0.0	0.0	0.0	33696184.0	6649367.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2792","main.cluster index_upperinput":"2792"}	This Node is a Singleton	N/A	N/A	N/A	 	8.1425	8.1425	0	N/A	N/A	121036654.5	6	2792	-1	 	6	-97.9258	-1	99.9258	121036654.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4580998.033333333	14841977.133333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2950","main.cluster index_upperinput":"2950"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4417	8.4417	0	N/A	N/A	58268925.5	6	2950	-1	 	6	-98.9336	-1	100.9336	58268925.5
EXP,CTRL	 	 	7.0	0.0	0.0	0.0	0.0	0.0	0.0	10921185.666666666	10856157.566666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2809","main.cluster index_upperinput":"2809"}	This Node is a Singleton	N/A	N/A	N/A	 	8.1672	8.1672	0	N/A	N/A	65332029.7	6	2809	-1	 	6	-98.9336	-1	100.9336	65332029.7
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2093937.6666666665	2113337.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2218","main.cluster index_upperinput":"2218"}	This Node is a Singleton	N/A	N/A	N/A	 	7.4545	7.4545	0	N/A	N/A	12621825.5	6	2218	-1	 	6	-98.9336	-1	100.9336	12621825.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	470175.73333333334	701665.2533333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2953","main.cluster index_upperinput":"2953"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4384	8.4384	0	N/A	N/A	3515522.96	6	2953	-1	 	6	-99.9337	-1	101.9337	3515522.96
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	268146.97533333336	113355.61166666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3224","main.cluster index_upperinput":"3224"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2762	10.2762	0	N/A	N/A	1144507.761	6	3224	-1	 	6	-100.9568	-1	102.9568	1144507.761
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	508153.793	540967.4033333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2934","main.cluster index_upperinput":"2934"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4300	8.4300	0	N/A	N/A	3147363.589	5	2934	-1	 	5	-104.0410	-1	106.0410	3147363.589
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	170040.30966666667	290235.0476666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2974","main.cluster index_upperinput":"2974"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4729	8.4729	0	N/A	N/A	1380826.0719999997	6	2974	-1	 	6	-104.0410	-1	106.0410	1380826.0719999997
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	414792.97633333335	311950.4376666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2986","main.cluster index_upperinput":"2986"}	This Node is a Singleton	N/A	N/A	N/A	 	8.5349	8.5349	0	N/A	N/A	2180230.2419999996	6	2986	-1	 	6	-104.0410	-1	106.0410	2180230.2419999996
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	203384.65	326065.214	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3190","main.cluster index_upperinput":"3190"}	This Node is a Singleton	N/A	N/A	N/A	 	10.1764	10.1764	0	N/A	N/A	1588349.592	5	3190	-1	 	5	-104.0411	-1	106.0411	1588349.592
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	489897.93166666664	158605.40333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=4937c035022343f1826613ae0ee0fe61&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3093","main.cluster index_upperinput":"3093"}	This Node is a Singleton	N/A	N/A	N/A	 	9.4301	9.4301	0	N/A	N/A	1945510.0050000001	5	3093	-1	 	5	-104.0411	-1	106.0411	1945510.0050000001
