row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C3-a_Run275.mzML Peak area,NEG_D5-227-C3-c_Run281.mzML Peak area,NEG_D5-227-C3-b_Run278.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
713,80.94785059316085,10.182521,,,,,,,,,,,0,0,0,849612.6,930464.2,815978.7,
381,80.94789550624331,7.77153,,,,7,,,,,,,0,0,0,878339.6,608120.56,868997.2,
420,80.94789805124314,7.8716245,,,,63,,,,,,,0,0,0,766733.0,554205.44,662708.0,
298,80.94791555914603,7.374944,,,,44,,,,,,,0,0,0,605250.75,453578.38,696817.56,
826,81.52050967563817,10.492288,,,,39,,,,,,,0,0,0,2.7274882E7,2.9259034E7,2.7966768E7,
23,84.95978609001521,0.43599412,,,,,,,,,,,0,0,0,2880147.2,4203904.0,1.0379863E7,
37,89.05977239449372,2.7459037,,,,,,,,,,,0,0,0,462431.1,1227202.5,361792.6,
755,89.50665340911765,10.333573,,,,14,,,,,,,0,0,0,1.144064E7,1.1433834E7,1.2806039E7,
782,90.50668872766512,10.374984,,,,14,,,,,,,0,0,0,4709399.5,4638022.0,4725757.5,
831,90.52588585570724,10.506519,,,,39,,,,,,,0,0,0,4.0922364E7,4.135648E7,3.760239E7,
785,91.50438987445585,10.376733,,,,14,,,,,,,0,0,0,1792999.4,1763337.5,1804893.0,
807,94.04510039170087,10.450604,,,,,,,,,,,0,0,0,4974401.0,4939875.0,4732135.5,
22,96.95999906672402,0.44238746,,,,,,,,,,,2730645.5,550365.0,593851.44,0,0,0,
845,96.96000855865309,11.180218,,,,,,,,,,,1313777.2,547101.25,555228.2,0,0,0,
754,97.51440243356647,10.333434,,,,14,,,,,,,0,0,0,1307722.9,1388868.0,1278102.9,
834,97.99136005878262,10.527814,,,,39,,,,,,,0,0,0,9588389.0,9013835.0,9387882.0,
750,98.51203785799709,10.331832,,,,14,,,,,,,0,0,0,2.3580524E7,2.2551964E7,2.2928398E7,
614,99.92572347493818,8.928811,,,,20,,,,,,,7.33156E7,7.025178E7,6.1540852E7,0,0,0,
694,101.98079940879023,10.01578,,,,,,,,,,,475233.53,558738.25,640810.25,0,0,0,
636,101.98080604517419,8.963401,,,,4,,,,,,,3510650.0,3535326.0,3480535.8,0,0,0,
578,101.98081365123114,8.70816,,,,,,,,,,,1423064.0,1453833.0,1336264.4,0,0,0,
813,102.03386413707945,10.483439,,,,39,,,,,,,0,0,0,1.4028165E8,1.3853955E8,1.4515152E8,
814,102.53543267308315,10.485185,,,,39,,,,,,,0,0,0,1.2205041E7,1.1980027E7,1.2592613E7,
714,102.95674189322186,10.187667,,,,,,,,,,,1371894.4,910938.5,1355158.9,0,0,0,
652,102.95674348982537,8.968633,,,,4,,,,,,,757799.3,530373.8,723043.0,0,0,0,
825,104.03021741467593,10.491948,,,,39,,,,,,,0,0,0,3615046.0,3202513.0,3703096.5,
144,105.03351278378551,5.675162,,,,23,,,,,,,0,0,0,2467678.5,1846915.0,2597630.5,
760,109.02244721824752,10.338952,,,,14,,,,,,,0,0,0,7381046.5,5669208.0,5644671.0,
801,109.52167766410908,10.41111,,,,14,,,,,,,0,0,0,5096003.0,4941068.0,5259094.5,
751,110.02006318968085,10.331832,,,,14,,,,,,,0,0,0,9.046508E7,8.930242E7,9.133548E7,
757,110.52174245747968,10.33548,,,,14,,,,,,,0,0,0,6168187.0,6615303.0,7821718.5,
786,111.02017824823547,10.376733,,,,14,,,,,,,0,0,0,7.939425E7,7.915511E7,8.0734264E7,
836,111.03900516687044,10.534823,,,,39,,,,,,,0,0,0,1.2155978E7,1.0615713E7,1.1574239E7,
779,111.51890979475267,10.373242,,,,14,,,,,,,0,0,0,2008572.1,1924844.1,2014142.6,
780,111.52175033211928,10.373242,,,,14,,,,,,,0,0,0,6787262.5,6691522.5,6880642.5,
787,112.01780929944148,10.376733,,,,14,,,,,,,0,0,0,3.1093494E7,3.0950596E7,3.1442178E7,
788,112.51954674807037,10.376733,,,,14,,,,,,,0,0,0,2206800.8,2166385.2,2212751.0,
718,112.98559713416644,10.205386,,,,32,,,,,,,1.5284342E7,1.5223433E7,1.5156495E7,0,0,0,
789,113.0165646811618,10.376733,,,,14,,,,,,,0,0,0,4348225.0,4360230.5,4455318.5,
633,113.92620694707374,8.959908,,,,20,,,,,,,1.9884262E7,1.9062348E7,1.8362422E7,0,0,0,
756,113.96356150237007,10.333573,,,,14,,,,,,,0,0,0,7057517.0,8225338.5,7176085.0,
5,113.96375415370755,0.036781892,,,,0,,,,,,,0,0,0,2782697.0,2728314.8,2835497.2,
12,113.9637673008137,0.3232884,,,,3,,,,,,,0,0,0,2057201.1,1645683.8,2389126.8,
777,114.01646631772753,10.371555,,,,14,,,,,,,0,0,0,1105818.0,1043150.6,1113333.8,
613,114.93404212260229,8.928211,,,,20,,,,,,,7085716.5,7118471.0,6084235.5,0,0,0,
503,114.93405494134441,8.216734,,,,2,,,,,,,1764681.2,1352577.1,1377729.0,0,0,0,
366,114.93407706348,7.7680564,,,,55,,,,,,,1061057.6,1236273.9,1104824.1,0,0,0,
423,114.93408105526065,7.872368,,,,9,,,,,,,2141904.2,2722573.5,2291521.0,0,0,0,
620,115.92066223323108,8.943904,,,,20,,,,,,,3.9782624E8,3.623211E8,3.7792166E8,0,0,0,
796,115.96396473687366,10.383458,,,,14,,,,,,,0,0,0,2001137.5,2156360.2,2425267.5,
367,116.9284602380073,7.7680564,,,,55,,,,,,,2.0245166E7,2.3158174E7,2.124687E7,0,0,0,
424,116.92846304749747,7.872368,,,,9,,,,,,,4.1328052E7,5.3114864E7,4.826734E7,0,0,0,
275,116.92847081471795,7.370231,,,,1,,,,,,,1.4106558E7,1.8374098E7,1.4618632E7,0,0,0,
14,116.97193839527108,0.32510504,,,,,,,,,,,0,0,0,983248.2,593772.5,930963.44,
24,117.01923347694681,0.68720704,,,,,,,,,,,1852963.5,1646385.0,2127042.5,0,0,0,
505,117.92852714914564,8.216734,,,,2,,,,,,,4105429.2,3161255.2,3161652.2,0,0,0,
368,117.9285653419136,7.7680564,,,,55,,,,,,,2342576.0,2669636.0,2434078.8,0,0,0,
425,117.92856697827767,7.872368,,,,9,,,,,,,4761306.5,5788283.0,5853487.5,0,0,0,
276,117.92856942095271,7.370231,,,,1,,,,,,,1640616.4,2109137.5,1673198.9,0,0,0,
145,118.06509208309906,5.675162,,,,23,,,,,,,0,0,0,1088992.5,832281.06,1140044.9,
749,118.92400741809611,10.331346,,,,,,,,,,,464595.7,467639.9,464961.06,0,0,0,
433,118.9240661899036,7.874111,,,,9,,,,,,,1361931.2,1784384.8,1732439.8,0,0,0,
372,118.9240687509318,7.769789,,,,55,,,,,,,973733.2,1083968.9,1159891.0,0,0,0,
609,118.92666387074807,8.921401,,,,20,,,,,,,3809729.5,3938419.8,3867227.5,0,0,0,
502,118.9267001065969,8.216712,,,,2,,,,,,,1134526.8,698295.06,806460.3,0,0,0,
417,118.92672208155261,7.8706107,,,,9,,,,,,,1161486.8,1450141.5,1296727.0,0,0,0,
183,119.08557721730396,6.1017194,,,,57,,,,,,,0,0,0,2233152.8,1330526.4,1468033.6,
637,119.94679837021887,8.963401,,,,4,,,,,,,6106692.5,6177078.5,6698246.0,0,0,0,
41,120.04446351096699,2.8335507,,,,41,,,,,,,0,0,0,2504766.0,2561646.0,2225040.0,
35,121.02937757573028,2.657478,,,,,,,,,,,619268.94,745175.2,752210.94,0,0,0,
804,123.90191250921674,10.414066,,,,6,,,,,,,2083879.9,2113394.2,2186066.5,0,0,0,
638,124.99668006835873,8.963401,,,,4,,,,,,,1904272.1,1898843.6,2355742.2,0,0,0,
828,125.98618990855489,10.497533,,,,39,,,,,,,0,0,0,2.1710632E7,2.3375738E7,2.2511954E7,
797,126.8808716271487,10.396285,,,,6,,,,,,,982369.94,942885.6,951243.2,0,0,0,
21,128.95081370508464,0.4231714,,,,,,,,,,,0,0,0,2565770.5,2388062.0,2683212.5,
651,129.9756143148551,8.966888,,,,4,,,,,,,4051497.8,2920633.2,3717444.0,0,0,0,
264,129.9756797202308,7.3614507,,,,,,,,,,,1189874.8,1478975.2,1441440.0,0,0,0,
802,130.52164045572985,10.41111,,,,14,,,,,,,0,0,0,2255533.8,2379528.2,2290723.8,
43,131.071207875679,2.9044735,,,,,,,,,,,895713.8,566716.06,183582.05,0,0,0,
781,131.53348820498582,10.373242,,,,14,,,,,,,0,0,0,6902001.0,6743107.5,7144073.5,
333,131.53357256762453,7.6078906,,,,,,,,,,,0,0,0,2525547.2,989279.8,2123222.5,
668,132.86772296006552,8.980807,,,,4,,,,,,,1503678.9,1574919.2,2751694.0,0,0,0,
800,132.86774809684368,10.410522,,,,6,,,,,,,5765623.5,5776736.5,5736467.5,0,0,0,
559,132.86776016524917,8.629302,,,,13,,,,,,,2847478.0,2543408.0,2441633.5,0,0,0,
519,132.90009770109953,8.220237,,,,2,,,,,,,534082.0,571436.0,506718.7,0,0,0,
618,132.90009946355877,8.942596,,,,20,,,,,,,3060072.0,3192707.8,3223673.2,0,0,0,
470,132.90012933367052,7.896236,,,,9,,,,,,,317009.97,302989.28,301599.97,0,0,0,
606,132.92333717570463,8.913979,,,,20,,,,,,,1.5650793E7,1.3853142E7,1.4800959E7,0,0,0,
660,134.86495053067793,8.97208,,,,4,,,,,,,958587.9,1075643.1,1053469.8,0,0,0,
568,134.86501063300162,8.662768,,,,49,,,,,,,1644461.0,1574657.6,1615117.5,0,0,0,
708,134.86502902590584,10.164187,,,,,,,,,,,549793.9,498122.62,526513.4,0,0,0,
799,134.86537594967635,10.410506,,,,6,,,,,,,5940295.5,5912237.0,5890653.0,0,0,0,
624,134.8945506626714,8.946092,,,,20,,,,,,,7.348254E7,7.301173E7,6.270274E7,0,0,0,
495,134.89455672339156,8.215001,,,,2,,,,,,,9967519.0,1.118941E7,1.0249971E7,0,0,0,
468,134.8945906646132,7.894493,,,,9,,,,,,,6407225.0,6139687.0,6174287.0,0,0,0,
653,135.97080815030526,8.968633,,,,4,,,,,,,929604.9,979152.4,879221.3,0,0,0,
574,135.97084065682816,8.696038,,,,,,,,,,,1607749.2,1516780.8,1478917.0,0,0,0,
540,136.02163129293106,8.420563,,,,,,,,,,,0,0,0,4750310.0,4908357.5,4705572.0,
30,136.03948262867408,1.7421871,,,,12,,,,,,,0,0,0,2152909.8,2348383.2,4251467.5,
805,136.8627579779522,10.414066,,,,6,,,,,,,1815855.4,1793428.9,1822365.2,0,0,0,
42,138.05508238892747,2.8335507,,,,41,,,,,,,0,0,0,699165.94,729429.0,635383.44,
27,138.0550898729762,1.6896406,,,,,,,,,,,0,0,0,2189070.2,2169571.0,3493681.5,
752,138.99532350947152,10.331832,,,,14,,,,,,,0,0,0,4422416.5,4209994.0,4454389.5,
832,139.01789108739703,10.520473,,,,39,,,,,,,0,0,0,1.0482867E7,1.0097925E7,1.011755E7,
617,139.94438143462932,8.9408455,,,,,,,,,,,6799649.5,6308727.0,6389596.5,0,0,0,
767,139.98787748072073,10.366261,,,,14,,,,,,,0,0,0,2.7495566E7,2.6880322E7,2.7274766E7,
737,140.0681798605458,10.248431,,,,,,,,,,,0,0,0,560391.5,659295.6,596098.6,
415,140.0682495941808,7.864448,,,,63,,,,,,,0,0,0,387615.97,367544.5,402318.38,
302,140.06827301154033,7.374964,,,,44,,,,,,,0,0,0,469224.88,415988.38,470809.44,
33,140.06828125057984,2.4381814,,,,,,,,,,,0,0,0,86922.38,43240.918,86683.18,
61,140.0682886495974,3.7444277,,,,,,,,,,,0,0,0,104845.33,70989.58,104798.42,
761,141.95852633580583,10.333577,,,,,,,,,,,0,0,0,2114861.0,1692146.6,1749764.6,
2,141.95872405827464,0.033175692,,,,0,,,,,,,0,0,0,8401688.0,1.1490568E7,1.0876501E7,
10,141.95873565848458,0.32146966,,,,3,,,,,,,0,0,0,1.4746755E7,8587854.0,5522232.0,
768,141.98332401921644,10.366261,,,,14,,,,,,,0,0,0,1.0441034E7,1.036238E7,1.0472705E7,
599,142.92880234474384,8.907004,,,,20,,,,,,,3578275.8,3015088.0,3793254.8,0,0,0,
7,143.9591174068542,0.31966692,,,,,,,,,,,0,0,0,490633.8,283899.4,840383.1,
1,143.95914080933593,0.03498261,,,,,,,,,,,0,0,0,91169.72,221170.83,248489.75,
770,143.9808681955501,10.368001,,,,14,,,,,,,0,0,0,1370583.1,1370528.0,1361345.8,
603,144.9232900886487,8.912239,,,,20,,,,,,,9.042179E7,7.66985E7,1.0638831E8,0,0,0,
711,144.98217381918678,10.175269,,,,10,,,,,,,0,0,0,7507640.0,2.1425664E7,1.5264123E7,
843,145.03525844783022,10.941455,,,,,,,,,,,0,0,0,9413920.0,9211714.0,9322635.0,
604,145.92345498305932,8.912239,,,,20,,,,,,,8511366.0,8717853.0,8720687.0,0,0,0,
630,146.9657819261322,8.956405,,,,4,,,,,,,8304476.0,9632656.0,7153153.0,0,0,0,
575,146.96581655950106,8.6995325,,,,,,,,,,,4.2520668E7,4.118319E7,4.2980764E7,0,0,0,
709,146.9802866973623,10.167393,,,,10,,,,,,,0,0,0,3439236.0,9715590.0,3229767.8,
842,147.03088270169232,10.845201,,,,,,,,,,,0,0,0,5764449.0,5561993.0,5763578.5,
161,147.08046984462675,5.8316307,,,,28,,,,,,,0,0,0,295731.25,233216.47,255060.53,
184,147.08053055948304,6.1017194,,,,57,,,,,,,0,0,0,3.37832E7,2.0449328E7,2.2549684E7,
619,150.8893558041846,8.942596,,,,20,,,,,,,2603035.8,3498506.0,2771157.2,0,0,0,
531,150.88941194927125,8.35008,,,,,,,,,,,2224176.2,2457727.8,2573012.5,0,0,0,
