"","Filename","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-VPA_1_Run27.mzML","2024_NEG_CC-VPA_2_Run36.mzML","2024_NEG_CC-VPA_3_Run77.mzML"
"53","105/501.2583mz/5.03min","270422.0","156216.22","254273.72","238359.84","309803.94","311683.28"
"54","106/653.0254mz/5.04min","54784.625","58481.97","78698.12","70695.15","49805.82","59639.92"
"55","107/410.2311mz/5.06min","103379.5","51974.75","89113.56","73695.48","85510.47","90707.44"
"56","108/396.2154mz/5.1min","2768363.8","1713910.9","2769893.5","2568861.2","2434618.5","3084597.8"
"57","109/397.2189mz/5.1min","515677.44","307468.3","516834.34","452828.38","444084.94","550620.56"
"58","110/424.2468mz/5.15min","162407.5","75855.96","57278.75","130868.71","166555.53","170665.88"
"59","111/484.2681mz/5.14min","3616339.8","2537889.0","3780737.5","3781026.8","4595462.5","4110527.5"
"60","112/501.2583mz/5.14min","690669.44","487320.1","743505.94","718813.1","866406.06","768062.75"
"61","113/410.2311mz/5.17min","360399.53","235453.77","346897.9","271788.9","302955.75","383447.6"
"62","114/424.2468mz/5.21min","174595.0","83637.05","161953.9","137498.94","145904.56","205681.22"
"63","115/779.3652mz/5.3min","772023.94","432716.03","565327.4","599148.25","828930.25","696288.9"
"64","116/187.8609mz/5.32min","111107.55","47199.15","212259.11","23921.633","40589.344","111574.84"
"65","117/315.2541mz/5.45min","44681.258","26547.475","29931.889","41537.145","83228.336","41055.652"
"66","118/214.8799mz/5.38min","35296.652","180823.5","246851.19","117410.19","123377.5","1278336.2"
"67","119/241.8989mz/5.44min","245459.05","315385.97","380275.7","51295.727","342169.9","2269281.0"
"68","120/424.2468mz/5.55min","804076.6","500993.0","756293.56","700686.56","820780.2","870845.25"
"69","121/512.2994mz/5.6min","128773.26","76161.95","122300.74","120971.63","168782.33","147969.28"
"70","122/705.3284mz/5.63min","489167.97","264946.7","327699.4","384802.8","540857.5","433993.03"
"71","123/424.2469mz/5.66min","3059949.2","2058347.2","3118588.8","3004246.0","3238825.8","3575290.0"
"72","124/512.2995mz/5.71min","519598.2","375007.28","535724.9","562447.3","686640.7","599587.2"
"73","126/315.2541mz/5.8min","116824.41","66822.36","104149.8","101346.766","140491.7","124596.02"
"74","127/562.0039mz/5.83min","59231.617","56904.168","71395.22","63738.617","46074.05","60894.8"
"75","128/315.2541mz/5.89min","32840.086","21294.408","22499.285","77543.33","39847.145","28988.912"
"76","129/656.1113mz/5.93min","179382.88","156333.98","139756.39","160642.36","200276.6","137342.34"
"77","130/195.906mz/6.01min","0.0","198852.66","0.0","0.0","0.0","0.0"
"78","131/214.8799mz/5.97min","16127.288","777054.6","216166.8","144169.22","177653.25","15912.807"
"79","132/241.8989mz/5.96min","262851.7","1409367.0","287083.3","278032.16","362558.5","83737.1"
"80","133/315.2542mz/6.02min","115011.51","74739.94","107926.07","110793.055","145999.08","120491.63"
"81","134/187.8609mz/6.02min","0.0","172636.62","0.0","0.0","0.0","0.0"
"82","135/265.1479mz/6.02min","580032.0","215177.77","434567.06","334459.4","543584.1","302905.03"
"83","136/271.2279mz/6.06min","326082.88","179300.84","254945.56","255609.31","390365.5","295101.25"
"84","137/656.1114mz/6.14min","509995.72","443529.72","415395.8","253142.78","574508.75","428694.6"
"85","138/453.2816mz/6.12min","219690.95","144243.7","216369.69","191786.92","237652.6","241654.3"
"86","139/452.2782mz/6.13min","930154.94","628842.3","912900.4","857613.4","1101981.2","1082828.6"
"87","140/315.2541mz/6.14min","427414.44","236347.86","343795.9","342301.6","490712.75","388202.47"
"88","141/540.3308mz/6.19min","141203.97","98026.41","145578.94","151588.39","183458.73","168363.47"
"89","142/452.2782mz/6.24min","5552533.5","3698379.8","5394294.0","4748655.5","6032192.5","6047617.5"
"90","144/480.299mz/6.3min","110371.08","53516.062","92865.33","98978.08","96915.84","106462.08"
"91","145/540.3309mz/6.3min","962392.06","768470.1","1034304.5","969297.75","1198520.8","1151665.0"
"92","146/478.2939mz/6.3min","3028820.2","1575212.0","2638266.0","2588477.8","2725822.8","3067519.5"
"93","147/656.1113mz/6.33min","156319.52","158096.84","100092.45","135219.75","161451.17","133760.05"
"94","149/566.3466mz/6.37min","405563.7","244704.3","382524.7","358656.12","490987.5","444117.66"
"95","150/311.1687mz/6.37min","176017.78","92114.63","105721.15","141090.9","149766.8","186517.73"
"96","152/271.2279mz/6.39min","311101.3","202246.3","241514.03","236893.58","364392.53","284490.4"
"97","153/478.2939mz/6.41min","11101540.0","6233555.0","10607851.0","10096523.0","9562844.0","11518978.0"
"98","154/957.5953mz/6.4min","480843.44","162516.58","467697.62","390142.4","368809.5","543285.0"
"99","155/480.2991mz/6.4min","410062.38","241661.5","375621.4","400726.38","346355.56","408622.6"
"100","157/566.3466mz/6.47min","2011159.4","1302038.1","2015869.9","1897489.1","2310592.0","2110742.2"
