row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C2-c_Run254.mzML Peak area,NEG_D5-227-C2-a_Run248.mzML Peak area,NEG_D5-227-C2-b_Run251.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
705,80.94785059316085,10.182521,,,,,,,,,,,0,0,0,849612.6,930464.2,815978.7,
388,80.94789550624331,7.77153,,,,7,,,,,,,0,0,0,878339.6,608120.56,868997.2,
427,80.94789805124314,7.8716245,,,,40,,,,,,,0,0,0,766733.0,554205.44,662708.0,
296,80.94791555914604,7.374944,,,,5,,,,,,,0,0,0,605250.75,453578.38,696817.56,
817,81.52050967563817,10.492288,,,,38,,,,,,,0,0,0,2.7274882E7,2.9259034E7,2.7966768E7,
20,84.95978609001521,0.43599412,,,,,,,,,,,0,0,0,2880147.2,4203904.0,1.0379863E7,
35,89.05977239449372,2.7459037,,,,,,,,,,,0,0,0,462431.1,1227202.5,361792.6,
746,89.50665340911765,10.333573,,,,30,,,,,,,0,0,0,1.144064E7,1.1433834E7,1.2806039E7,
774,90.50668872766512,10.374984,,,,30,,,,,,,0,0,0,4709399.5,4638022.0,4725757.5,
822,90.52588585570722,10.506519,,,,38,,,,,,,0,0,0,4.0922364E7,4.135648E7,3.760239E7,
777,91.50438987445584,10.376733,,,,30,,,,,,,0,0,0,1792999.4,1763337.5,1804893.0,
799,94.04510039170087,10.450604,,,,,,,,,,,0,0,0,4974401.0,4939875.0,4732135.5,
21,96.96002113547678,0.4435142,,,,,,,,,,,1496539.5,553637.75,1355242.6,0,0,0,
836,96.96003667707235,11.133465,,,,,,,,,,,1322989.6,566025.4,1316940.6,0,0,0,
745,97.51440243356647,10.333434,,,,30,,,,,,,0,0,0,1307722.9,1388868.0,1278102.9,
591,97.93126421788482,8.908471,,,,,,,,,,,1092868.0,3383073.8,1095676.1,0,0,0,
825,97.99136005878262,10.527814,,,,38,,,,,,,0,0,0,9588389.0,9013835.0,9387882.0,
741,98.51203785799709,10.33183,,,,30,,,,,,,0,0,0,2.3580524E7,2.2551964E7,2.2928398E7,
606,99.92575339347405,8.919198,,,,9,,,,,,,6.293424E7,7.294584E7,7.358924E7,0,0,0,
632,101.98084089763802,8.963047,,,,9,,,,,,,4489729.0,4782231.0,4740610.5,0,0,0,
688,101.98084643232276,10.0153885,,,,,,,,,,,630868.56,656924.3,628662.6,0,0,0,
805,102.03386413707945,10.483439,,,,38,,,,,,,0,0,0,1.4028165E8,1.3853955E8,1.4515152E8,
806,102.53543267308315,10.485185,,,,38,,,,,,,0,0,0,1.2205041E7,1.1980027E7,1.2592613E7,
706,102.95676809867537,10.186868,,,,,,,,,,,1404647.0,1450196.0,1424935.2,0,0,0,
650,102.95677486615783,8.968268,,,,9,,,,,,,672916.25,625171.8,666574.44,0,0,0,
816,104.03021741467592,10.491948,,,,38,,,,,,,0,0,0,3615046.0,3202513.0,3703096.5,
141,105.03351278378553,5.675162,,,,4,,,,,,,0,0,0,2467678.5,1846915.0,2597630.5,
752,109.02244721824754,10.338952,,,,30,,,,,,,0,0,0,7381046.5,5669208.0,5644671.0,
791,109.52167766410908,10.41111,,,,30,,,,,,,0,0,0,5096003.0,4941068.0,5259094.5,
742,110.02006318968085,10.33183,,,,30,,,,,,,0,0,0,9.046508E7,8.930242E7,9.133548E7,
749,110.52174245747968,10.33548,,,,30,,,,,,,0,0,0,6168187.0,6615303.0,7821718.5,
778,111.02017824823547,10.376733,,,,30,,,,,,,0,0,0,7.939425E7,7.915511E7,8.0734264E7,
827,111.03900516687044,10.534823,,,,38,,,,,,,0,0,0,1.2155978E7,1.0615713E7,1.1574239E7,
771,111.51890979475267,10.373242,,,,30,,,,,,,0,0,0,2008572.1,1924844.1,2014142.6,
772,111.52175033211928,10.373242,,,,30,,,,,,,0,0,0,6787262.5,6691522.5,6880642.5,
779,112.01780929944148,10.376733,,,,30,,,,,,,0,0,0,3.1093494E7,3.0950596E7,3.1442178E7,
