row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp11_3_Run150.mzML Peak area,NEG_TJGIp11_2_Run124.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp11_1_Run26.mzML Peak area,
56,89.02431132086924,0.5028966,,,,,,,,,,,1474720.8,1364576.5,318167.0,1234155.9,159543.7,440356.53,
13,92.9279406865722,0.34977093,,,,,,,,,,,252152.98,584895.7,466966.3,684414.1,718702.06,470730.47,
3211,92.92795462371828,10.267914,,,,,,,,,,,0,0,0,0,348263.6,44369.688,
1438,96.96004394404932,5.9362917,,,,,,,,,,,213947.89,285506.28,591229.9,161916.39,6921.543,0,
3301,96.96004988918754,11.028965,,,,,,,,,,,4220628.0,4319244.5,4058776.8,4036113.0,2944546.8,3271780.0,
11,96.96009840853763,0.34312204,,,,81,,,,,,,3391302.0,3457486.8,1988467.6,3906556.0,5279361.0,3025471.2,
42,96.9695373927987,0.39045087,,,,81,,,,,,,2817780.0,3194722.0,2698841.5,3949363.5,3762788.5,4666218.5,
2961,99.92575851607285,8.454026,,,,,,,,,,,6773269.0,4429160.5,3.82633E7,2.939347E7,7808937.0,5.0101904E7,
2792,99.92576464377335,8.142461,,,,7,,,,,,,3.806818E7,3.2378754E7,6046705.5,5176365.0,3.0641618E7,8725032.0,
2950,100.93356718577168,8.441745,,,,,,,,,,,7034706.0,1357070.1,2370981.8,2022399.6,5351218.0,4.013255E7,
2809,100.9335810195805,8.16722,,,,7,,,,,,,1.8416428E7,4370382.0,2.0438144E7,3964476.2,9976747.0,8165852.5,
2218,100.93359209802072,7.4544578,,,,,,,,,,,1984445.2,2039672.0,2356562.5,1980834.0,2257695.8,2002616.0,
2953,101.93371562753681,8.43843,,,,,,,,,,,494008.7,309434.7,116796.36,306770.4,607083.8,1681429.0,
3224,102.9568437346631,10.276182,,,,,,,,,,,77245.35,30093.826,123877.945,51264.2,697101.75,164924.69,
2934,106.0410213696787,8.429998,,,,,,,,,,,721816.5,796625.25,146300.61,1476601.6,6019.629,0,
2974,106.04102156299403,8.472892,,,,,,,,,,,361172.2,142929.1,146300.61,708366.9,6019.629,16037.633,
