row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,POS_D5-227-C3-a_Run274.mzML Peak area,POS_D5-227-C3-b_Run277.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,POS_D5-227-C3-c_Run280.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,
603,80.94789451896669,10.183367,,,,,,,,,,,930464.2,416123.47,414292.3,849612.6,429466.9,815978.7,
407,80.9479320001445,7.7860694,,,,13,,,,,,,608120.56,296615.75,398803.2,878339.6,342337.66,868997.2,
443,80.94794327036554,7.875992,,,,45,,,,,,,554205.44,163270.11,236408.1,766733.0,376102.3,662708.0,
311,80.94795161269117,7.373634,,,,2,,,,,,,453578.38,283875.9,330464.84,605250.75,354276.53,696817.56,
702,81.52054846797988,10.482187,,,,38,,,,,,,2.9259034E7,3.1782304E7,3.0821436E7,2.7274882E7,2.4005242E7,2.7966768E7,
27,84.95980942238924,0.43630743,,,,,,,,,,,4124307.8,3001941.5,1.0373129E7,2980972.5,4445511.0,1.0379863E7,
44,89.05980230982652,2.744067,,,,,,,,,,,1227202.5,297977.25,590428.9,457790.88,406197.72,361792.6,
639,89.50669769427287,10.324777,,,,31,,,,,,,1.1433834E7,1.7409558E7,1.3937761E7,1.144064E7,7513609.5,1.2806039E7,
664,90.50673102015234,10.363681,,,,31,,,,,,,4638022.0,4710613.5,4686433.5,4709399.5,4653700.5,4725757.5,
705,90.52592826060874,10.496974,,,,38,,,,,,,4.135648E7,4.5133364E7,2.8498852E7,4.0922364E7,2.9383678E7,3.760239E7,
9,90.94777516730784,0.049539763,,,,,,,,,,,153183.02,250291.42,135766.28,267333.75,891229.4,97101.77,
21,90.94778556790243,0.33839026,,,,,,,,,,,141321.28,299218.16,207127.38,102694.09,736754.25,88057.0,
457,90.97673620457402,7.875976,,,,44,41,[M-H2O+2H]+2,,2,457;449,197.94982,912886.9,1327103.1,1761369.8,1133448.1,1527739.4,1185922.0,
299,90.9767471450316,7.3727307,,,,2,32,[M-H2O+2H]+2,,2,299;295,197.94979,1160519.4,1672357.4,1731228.6,1378564.1,2002219.5,1555573.4,
673,91.50443425941359,10.36966,,,,31,,,,,,,1763337.5,1790390.9,1805199.0,1792999.4,1780187.0,1804893.0,
691,94.04514365672594,10.441756,,,,38,,,,,,,4939875.0,5163483.0,5232394.0,4974401.0,5248373.0,4732135.5,
643,97.51444934765055,10.327332,,,,31,51,[M+NH4]+,,2,632;643,79.48078,1388868.0,1506767.8,1337348.8,1307722.9,819461.56,1278102.9,
8,97.96884542589441,0.036851082,,,,0,,,,,,,84880.164,376339.7,424714.2,110124.95,247878.27,114579.016,
11,97.96884985655322,0.17780851,,,,,,,,,,,67099.945,63954.99,101653.35,25567.146,32830.555,134783.7,
20,97.96886020141676,0.32172567,,,,23,,,,,,,189730.44,332728.66,418934.66,158515.05,384303.1,188352.1,
708,97.99140313864451,10.512788,,,,38,,,,,,,9013835.0,8893190.0,5205140.0,9588389.0,7995336.0,9387882.0,
640,98.51208401257217,10.324782,,,,31,,,,,,,2.2551964E7,2.442087E7,2.5709406E7,2.3580524E7,1.3175156E7,2.2928398E7,
604,101.07098726737473,10.175798,,,,11,,,,,,,2138950.8,1785833.0,1848094.9,2082775.5,1793434.0,2031272.8,
699,102.03391121554792,10.478637,,,,38,,,,,,,1.3853955E8,1.5211029E8,1.518652E8,1.4028165E8,1.552221E8,1.4515152E8,
698,102.53547829195948,10.478636,,,,38,,,,,,,1.1980027E7,1.3203509E7,1.3141997E7,1.2205041E7,1.3346884E7,1.2592613E7,
704,104.0302650113728,10.488023,,,,38,,,,,,,3202513.0,3900651.5,3882789.5,3615046.0,3999660.2,3703096.5,
159,105.03355998245046,5.6750627,,,,3,,,,,,,1846915.0,3193727.8,2723145.2,2467678.5,2886442.0,2597630.5,
644,109.02249902866396,10.328343,,,,31,50,[M+NH4]+,,2,644;633,90.98882,5669208.0,8003523.0,6589877.5,7381046.5,6530434.0,5644671.0,
684,109.5217300882998,10.381644,,,,31,,,,,,,4941068.0,5101978.0,4799417.0,5096003.0,4866031.0,5259094.5,
642,110.02011461707183,10.325653,,,,31,,,,,,,8.930242E7,1.27935384E8,1.03989256E8,9.046508E7,1.0393142E8,9.133548E7,
641,110.52177306477051,10.324853,,,,31,52,[M+Na]+,,2,647;641,87.53233,6615303.0,7563099.0,7956809.5,6168187.0,4263045.5,7821718.5,
671,111.02022607629654,10.367911,,,,31,58,[M+NH4]+,,2,671;658,92.98663,7.915511E7,7.9066776E7,7.87078E7,7.939425E7,7.8366856E7,8.0734264E7,
706,111.0390565685096,10.501864,,,,38,,,,,,,1.0615713E7,9974986.0,1.0096601E7,1.2155978E7,1.0210792E7,1.1574239E7,
675,111.51895834485123,10.370517,,,,31,,,,,,,1924844.1,1921995.0,1931870.0,2008572.1,1909142.4,2014142.6,
352,111.51899804649413,7.610102,,,,,,,,,,,165472.64,484138.47,50120.574,112764.1,452772.4,126063.07,
676,111.52179881580172,10.370517,,,,31,,,,,,,6691522.5,6755973.5,6823003.5,6787262.5,6699939.0,6880642.5,
345,111.52188224906165,7.5477424,,,,,,,,,,,755068.44,894624.06,2078349.1,785925.75,2071510.2,800058.06,
674,112.01785788076945,10.369778,,,,31,,,,,,,3.0950596E7,3.1092552E7,3.0735896E7,3.1093494E7,3.060245E7,3.1442178E7,
347,112.01793048466533,7.5698647,,,,,,,,,,,3449156.2,4380042.0,4367353.5,3635819.0,9427907.0,3577036.8,
667,112.51960847986658,10.36617,,,,31,,,,,,,2166385.2,2225654.8,2234281.8,2206800.8,2224283.2,2212751.0,
672,113.01661419227521,10.367911,,,,31,,,,,,,4360230.5,4359603.0,4284491.5,4348225.0,4326127.0,4455318.5,
356,113.01669750010046,7.6142635,,,,,,,,,,,477690.97,1137679.0,1134737.8,224159.78,1143815.9,491958.28,
645,113.96361841810722,10.329033,,,,31,53,[M-H2O+K]+,,2,645;656,93.01144,8225338.5,9388330.0,8700950.0,7057517.0,7986517.5,7176085.0,
6,113.96378721100216,0.03775038,,,,0,,,,,,,2728314.8,2782541.2,2736515.8,2782697.0,2560414.5,2835497.2,
16,113.96380356778661,0.32262602,,,,23,,,,,,,1645683.8,1815274.9,2824465.5,2057201.1,1862280.9,2389126.8,
662,114.01651745977489,10.362838,,,,31,,,,,,,1043150.6,1103203.2,1078039.9,1105818.0,1087426.1,1113333.8,
683,115.96401414881494,10.377372,,,,31,,,,,,,2156360.2,2041794.1,1832494.6,2001137.5,1849631.1,2425267.5,
18,116.97197224086527,0.32262775,,,,23,,,,,,,593772.5,354665.34,570483.4,983248.2,763643.1,930963.44,
160,118.06514869073072,5.6750627,,,,3,,,,,,,832281.06,1421731.8,1195878.0,1088992.5,1280073.1,1140044.9,
195,119.08561476128091,6.102368,,,,32,,,,,,,1330526.4,1084575.8,1840336.5,2233152.8,1082775.1,1468033.6,
48,120.04448859681213,2.8347218,,,,52,,,,,,,2561646.0,5495697.0,3373633.5,2504766.0,3788563.0,2225040.0,
701,125.98624605014375,10.481592,,,,38,,,,,,,2.3375738E7,2.122205E7,2.366376E7,2.1710632E7,2.207944E7,2.2511954E7,
26,128.95085140552297,0.41231963,,,,6,,,,,,,2388062.0,2264941.8,3353660.8,2565770.5,2861192.5,2683212.5,
688,130.52170015867767,10.3903265,,,,31,,,,,,,2379528.2,2433891.8,2078032.4,2255533.8,2077621.2,2290723.8,
669,131.53354649003347,10.367028,,,,31,,,,,,,6743107.5,7119390.5,7047955.5,6902001.0,7023678.5,7144073.5,
354,131.53362845443425,7.6271653,,,,,,,,,,,825521.0,3043225.2,3035192.8,2525547.2,2529747.2,2123222.5,
533,136.02168901004202,8.409459,,,,,,,,,,,4908357.5,879461.25,868747.3,4750310.0,883986.4,4705572.0,
35,136.0395344476059,1.7459158,,,,19,,,,,,,2348383.2,3261787.0,3592781.2,2152909.8,3591158.5,4251467.5,
49,138.0551062430801,2.8356314,,,,52,,,,,,,729429.0,1584802.9,966935.2,699165.94,1088954.4,635383.44,
38,138.05510996273154,2.1069338,,,,,,,,,,,3749.0325,149662.1,178017.95,7292.825,16084.215,9383.593,
33,138.05514705608502,1.6910249,,,,,,,,,,,2169571.0,2858028.8,3417547.5,2189070.2,3024058.5,3493681.5,
638,138.9953910566375,10.323995,,,,31,,,,,,,4209994.0,5495477.0,5271533.5,4422416.5,5039794.0,4454389.5,
707,139.01795568328885,10.504038,,,,38,,,,,,,1.0097925E7,1.0679761E7,1.0292277E7,1.0482867E7,1.0993949E7,1.011755E7,
5,139.9634689389034,0.036855597,,,,,,,,,,,488679.5,237282.08,708434.2,161978.84,312713.4,416391.4,
19,139.96347930961528,0.32170764,,,,,,,,,,,275934.75,516409.72,618530.4,485314.2,440685.0,419531.44,
