"","Filename","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-TJGIp4_1_Run183.mzML","2024_NEG_Anid-TJGIp4_2_Run212.mzML","2024_NEG_Anid-TJGIp4_3_Run233.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","157/226.0721mz/2.0min","3582727.0","5107368.5","4815080.5","3939389.0","4294042.0","1827459.4"
"3","158/244.0826mz/2.02min","2577503.5","3731052.5","2667412.5","1872317.1","2184584.0","640115.4"
"4","159/158.0822mz/2.03min","259831.66","302934.16","7906600.5","1724198.1","388049.3","1224318.5"
"5","161/345.13mz/2.05min","362393.1","508853.12","113857.02","191795.19","223779.36","265434.0"
"6","163/327.1199mz/2.05min","84226.414","87101.0","610731.5","393685.78","52105.793","24166.123"
"7","164/187.1088mz/2.06min","204842.94","316130.84","69243.836","144659.97","184148.47","888438.4"
"8","168/224.0564mz/2.1min","600287.5","560446.6","1321528.2","1446659.4","1200098.8","306390.78"
"9","169/182.0458mz/2.08min","3298662.2","2149809.8","1064724.5","1204581.1","1053270.5","189972.45"
"10","171/283.0606mz/2.1min","731347.7","472526.3","202640.4","231459.23","290072.62","188562.36"
"11","172/220.0649mz/2.1min","5975262.5","6207557.0","4215460.0","2439936.5","3551234.2","2216053.2"
"12","173/293.1145mz/2.09min","4610.924","20826.977","155723.66","48747.176","4469.176","35243.133"
"13","175/231.0986mz/2.1min","40907.02","58407.41","1778936.5","668957.25","241127.69","0.0"
"14","176/224.104mz/2.12min","495990.53","650229.2","0.0","287643.97","540245.25","0.0"
"15","178/242.067mz/2.11min","1760987.0","1730965.4","1262416.9","1697903.4","2254995.2","939555.2"
"16","179/117.0558mz/2.12min","1874189.6","2847821.5","3754308.2","1577387.0","1326814.6","999388.9"
"17","180/196.0615mz/2.14min","567791.3","144172.64","525161.4","1026777.3","759945.4","227033.53"
"18","182/163.9861mz/2.12min","3313524.0","1915012.8","1821852.6","2909504.2","3062212.5","4375066.5"
"19","183/345.1301mz/2.14min","67866.64","487354.97","102869.28","169625.23","108412.74","501988.6"
"20","184/240.0514mz/2.14min","1392183.2","1788058.9","2117995.8","3347651.5","3071442.2","839419.8"
"21","185/259.1299mz/2.14min","244162.92","436387.5","359874.25","179308.16","118206.15","414823.84"
"22","187/212.0565mz/2.17min","434462.8","195140.47","42656.508","414664.84","475430.25","37091.008"
"23","189/210.0771mz/2.16min","199763.72","280479.75","108955.484","148767.03","175126.31","244023.27"
"24","190/356.1348mz/2.15min","604203.4","248253.66","649078.1","360789.12","265052.6","0.0"
"25","192/147.0663mz/2.17min","257736.12","428241.4","51371.625","18973.865","52803.133","66194.695"
"26","193/281.099mz/2.18min","1249143.8","1623513.9","5151419.0","1656498.0","1146884.1","794964.3"
"27","194/437.214mz/2.18min","306731.12","423089.72","6024131.5","523695.12","258672.12","125229.46"
"28","195/225.0881mz/2.13min","411512.94","1166024.5","1180093.8","1051865.2","598875.25","264820.44"
"29","198/254.08mz/2.18min","86169.0","258126.75","1199418.5","111492.35","108536.625","74775.38"
"30","199/303.0813mz/2.18min","139493.23","70802.51","627304.06","239880.48","151787.84","144998.28"
"31","200/459.1966mz/2.18min","12388.076","37927.27","339070.03","39539.254","4262.506","0.0"
"32","201/218.1034mz/2.18min","5747325.0","7329235.5","27927002.0","7175889.0","5255680.0","3594111.2"
"33","202/219.1067mz/2.18min","538810.4","662591.2","2661463.0","675190.0","483335.25","315869.16"
"34","203/240.0877mz/2.18min","479764.03","557589.6","425966.0","337395.88","338810.53","226550.4"
"35","205/343.1143mz/2.21min","408258.3","551525.44","174376.47","296555.5","195467.42","45304.742"
"36","206/184.0615mz/2.2min","454538.03","570823.5","446777.38","348600.56","368676.03","333986.25"
"37","207/175.0611mz/2.2min","146875.45","242438.34","443509.62","310287.0","182255.53","137539.58"
"38","208/305.9633mz/2.21min","244507.64","315403.97","0.0","10616.299","73317.2","90266.41"
"39","209/197.0454mz/2.21min","53259.95","20910.504","1008331.6","1050352.0","632611.9","150272.53"
"40","210/145.0507mz/2.22min","1083696.1","1231053.5","3019616.0","1791187.9","1416751.2","206014.31"
"41","211/382.1002mz/2.22min","190503.97","293228.88","534981.6","616765.4","378426.3","656693.4"
"42","212/242.067mz/2.17min","212546.14","701040.8","278190.78","224381.05","502950.4","598715.6"
"43","214/317.099mz/2.23min","283774.4","382950.2","269606.22","1117953.9","699000.9","71644.11"
"44","215/283.0936mz/2.24min","985292.9","1234650.0","1086141.5","1005361.6","873112.6","861903.3"
"45","216/190.0545mz/2.25min","250878.48","227393.22","280468.06","85115.71","168946.42","550272.8"
"46","219/200.0565mz/2.26min","355136.94","383528.0","451728.62","638605.3","585184.4","144668.75"
