row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp2_3_Run161.mzML Peak area,POS_TJGIp2_2_Run93.mzML Peak area,POS_TJGIp2_1_Run37.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML Peak area,
3933,81.52046602737474,10.567123,,,,15,,,,,,,2.2124064E7,1.7582464E7,1.2797683E7,1.2580607E7,1.7748316E7,2.2064266E7,
3793,83.06030930631475,10.1219,,,,,,,,,,,47504.63,148173.58,39411.355,69653.97,131278.25,124933.695,
50,84.04438349256777,0.37686384,,,,27,,,,,,,1128306.2,1776249.0,433541.88,230675.75,736546.94,1796766.2,
114,84.04439647427027,0.45357752,,,,,,,,,,,204930.03,562464.5,398298.5,370143.28,811099.06,260465.44,
178,84.04444986301357,0.9618591,,,,,,,,,,,73865.39,150762.48,0,0,235139.45,58756.14,
3943,84.95960317120374,10.591572,,,,,,,,,,,1950074.0,756484.1,726172.2,762859.06,1186715.0,1755322.9,
108,84.95969379804568,0.50340563,,,,,,,,,,,985702.56,783658.4,704172.0,609281.56,637101.7,783095.0,
7,84.95969879786624,0.21745317,,,,,,,,,,,1626811.1,525111.44,1099546.2,328577.72,241027.28,3187081.5,
1448,86.09634729776072,6.1136165,,,,,,,,,,,141026.69,645409.56,370095.4,102673.414,550077.75,211335.56,
150,86.09643726572155,0.7290926,,,,158,,,,,,,1.5909215E7,1.7185284E7,1.3382934E7,1.1770019E7,1.5549849E7,2.1422614E7,
469,86.09646271723261,3.6884193,,,,18,,,,,,,208406.39,463068.6,215529.44,472915.4,432462.88,435436.62,
328,86.09651536513333,2.921045,,,,,,,,,,,307561.3,342588.5,183912.16,87635.8,179674.0,292852.06,
3905,90.50661067048469,10.46066,,,,,,,,,,,705621.0,708925.7,577627.1,1253365.1,724746.6,718849.4,
3939,90.52580210529338,10.580147,,,,15,,,,,,,4.4323936E7,3.835105E7,2.9906906E7,2.9184094E7,3.957062E7,4.566113E7,
12,90.97665875704712,0.33150756,,,,14,,,,,,,246060.84,300601.5,280552.75,345518.4,262612.1,243097.4,
1645,91.0541869572178,6.4642215,,,,181,,,,,,,435124.8,415593.5,485121.53,528074.06,400632.84,517034.53,
471,91.05428111185336,3.6915674,,,,18,,,,,,,364241.66,350656.16,340345.03,357265.75,356927.5,414723.66,
3923,94.04498734228791,10.5221405,,,,119,,,,,,,4349808.5,3675648.0,2821512.0,2563897.2,3852157.2,4557459.0,
478,95.08557829274206,3.693987,,,,18,,,,,,,1144236.0,954575.1,933297.8,923917.8,1016479.3,1315127.4,
3944,97.99124836264444,10.584657,,,,15,,,,,,,6942590.0,7491567.0,5699806.5,5868197.0,7798453.5,8662273.0,
3974,98.51196833618648,10.902398,,,,,,,,,,,339260.2,506503.66,6328922.0,2056180.8,231913.3,705424.56,
4006,98.5119812081668,11.021346,,,,,,,,,,,993647.9,964415.8,1513700.8,9778753.0,886427.5,810506.0,
102,98.98412784256146,0.44250572,,,,27,,,,,,,1232150.0,1146456.6,1482211.2,1757394.9,1779156.6,891190.25,
666,99.0439872865565,4.678421,,,,10,,,,,,,99604.57,85150.836,102213.305,104874.83,100328.64,94024.2,
159,99.04407049892437,0.8691878,,,,,,,,,,,1031058.1,464895.5,404390.94,1101536.0,360558.34,197791.19,
184,99.04408109474953,1.0405482,,,,,,,,,,,2552034.5,4802117.0,3127809.5,3054465.0,3049069.8,4737018.5,
3916,99.51211894495708,10.485043,,,,37,,,,,,,2830400.5,2523036.5,2352560.8,2768946.2,2404135.5,2788131.0,
3940,99.53103330769119,10.580359,,,,15,,,,,,,3611188.8,2728216.5,3801054.5,3932522.0,2811547.2,3003663.8,
807,100.07561310468823,5.0537133,,,,,,,,,,,387599.62,247067.75,59839.883,208573.0,224206.62,216676.3,
145,100.0756642859735,0.67447114,,,,,,,,,,,571771.9,47372.46,400508.0,436648.8,293487.97,233799.53,
200,100.07568997777946,1.3749461,,,,,,,,,,,951259.9,392109.72,1174348.1,1073055.2,1446620.2,2540221.0,
217,100.07570066883733,1.9355459,,,,159,,,,,,,6309170.5,7116379.5,4642888.5,4015064.2,6365533.0,3631473.8,
3822,100.11195424573889,10.2001295,,,,,,,,,,,369251.53,766717.8,544015.9,305509.53,403445.12,307748.47,
194,100.11207242077535,1.2049059,,,,,,,,,,,259013.61,137743.34,477640.84,173516.47,163541.64,164433.48,
370,100.11214433875138,3.1277971,,,,,,,,,,,227066.1,393868.88,489312.94,387450.62,196472.0,404074.56,
132,101.02332243660777,0.63739705,,,,12,,,,,,,1528489.4,2000935.2,1162251.8,600547.94,1146551.5,2409699.5,
3797,101.0708782912371,10.139984,,,,,,,,,,,2.4056382E7,3561397.0,5206119.0,5738785.0,2.9646154E7,2.2468838E7,
3671,101.07092345150552,9.42796,,,,,,,,,,,4958321.5,4691568.5,3322054.8,3.5353908E7,6036377.0,1073107.2,
3465,101.0709260254322,8.603459,,,,,,,,,,,4950484.0,2951293.2,8035646.0,1.4964307E7,6658575.5,1.1841044E7,
3936,102.03375345568243,10.576573,,,,15,,,,,,,7.341292E7,6.5104644E7,5.342456E7,5.2023856E7,6.507601E7,7.594585E7,
1049,102.05490387443963,5.5437417,,,,177,,,,,,,385945.7,342560.6,329137.5,449589.66,323677.62,241653.52,
49,102.05491408530526,0.37387428,,,,27,5,[M-H2O+NH4]+,,2,49;28,102.03122,1.4495622E7,2.09713E7,1.0208254E7,1.0548868E7,1.0745422E7,2.0906178E7,
457,102.05496822859403,3.5963373,,,,,,,,,,,0,4810.8457,75618.53,0,0,3659.4487,
232,102.09138546947742,2.1491659,,,,,,,,,,,106403.55,240096.48,114315.93,537449.56,148235.6,496745.84,
269,102.0914212620289,2.4914186,,,,,,,,,,,459130.38,176061.08,258028.73,609537.6,317410.4,393401.56,
3937,102.53533668625634,10.576573,,,,15,,,,,,,6341779.5,5663668.5,4640366.5,4506148.5,5659233.5,6530877.0,
3942,104.03010405005261,10.577468,,,,15,,,,,,,1864534.8,1634677.1,457423.62,546129.75,1616934.4,1918573.0,
109,104.0705340413395,0.4792551,,,,,,,,,,,200043.16,991481.75,144675.88,183119.0,367418.0,256352.0,
24,104.10690254203831,0.35977542,,,,27,,,,,,,2.19339E7,1.7501672E7,1.7807882E7,1.6580157E7,1.6158125E7,1.907283E7,
363,104.1070325354479,3.096574,,,,,,,,,,,121262.86,39432.79,63757.875,65272.215,88819.086,204492.39,
824,105.06980164751491,5.07819,,,,93,,,,,,,516002.4,340147.5,571264.06,800392.5,548029.6,551300.4,
428,105.06993109980976,3.4489622,,,,40,,,,,,,386736.9,388790.8,491636.06,468740.3,505607.03,678950.25,
