row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C4-c_Run188.mzML Peak area,NEG_D5-211-C4-a_Run182.mzML Peak area,NEG_D5-211-C4-b_Run185.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
694,80.94785059316085,10.182521,,,,,,,,,,,0,0,0,849612.6,930464.2,815978.7,
383,80.9478955062433,7.77153,,,,44,,,,,,,0,0,0,878339.6,608120.56,868997.2,
417,80.94789805124314,7.8716245,,,,62,,,,,,,0,0,0,766733.0,554205.44,662708.0,
292,80.94791555914601,7.374944,,,,6,,,,,,,0,0,0,605250.75,453578.38,696817.56,
807,81.52050967563817,10.492288,,,,2,,,,,,,0,0,0,2.7274882E7,2.9259034E7,2.7966768E7,
20,84.95978609001521,0.43599412,,,,,,,,,,,0,0,0,2880147.2,4203904.0,1.0379863E7,
33,89.05977239449372,2.7459037,,,,,,,,,,,0,0,0,462431.1,1227202.5,361792.6,
737,89.50665340911765,10.333573,,,,7,,,,,,,0,0,0,1.144064E7,1.1433834E7,1.2806039E7,
764,90.50668872766512,10.374984,,,,7,,,,,,,0,0,0,4709399.5,4638022.0,4725757.5,
812,90.52588585570724,10.506519,,,,2,,,,,,,0,0,0,4.0922364E7,4.135648E7,3.760239E7,
767,91.50438987445584,10.376733,,,,7,,,,,,,0,0,0,1792999.4,1763337.5,1804893.0,
788,94.04510039170087,10.450604,,,,,,,,,,,0,0,0,4974401.0,4939875.0,4732135.5,
826,96.96006073148392,11.147729,,,,,,,,,,,583417.3,1431099.4,1441858.5,0,0,0,
18,96.96010723800141,0.4261799,,,,,,,,,,,620751.5,1675762.1,1870681.2,0,0,0,
736,97.51440243356647,10.333434,,,,7,,,,,,,0,0,0,1307722.9,1388868.0,1278102.9,
815,97.99136005878262,10.527814,,,,2,,,,,,,0,0,0,9588389.0,9013835.0,9387882.0,
731,98.51203785799707,10.331831,,,,7,,,,,,,0,0,0,2.3580524E7,2.2551964E7,2.2928398E7,
593,99.9257900547392,8.914645,,,,41,,,,,,,6.6717156E7,6.428801E7,5.828367E7,0,0,0,
625,101.98086586077135,8.96256,,,,41,,,,,,,4666516.0,4641786.5,4948610.5,0,0,0,
801,102.03386413707945,10.483439,,,,2,,,,,,,0,0,0,1.4028165E8,1.3853955E8,1.4515152E8,
802,102.53543267308312,10.485184,,,,2,,,,,,,0,0,0,1.2205041E7,1.1980027E7,1.2592613E7,
641,102.95680614942233,8.96778,,,,41,,,,,,,710628.25,699354.1,811067.1,0,0,0,
695,102.95685617545159,10.190785,,,,,,,,,,,1077886.6,1585915.5,1038214.6,0,0,0,
806,104.03021741467592,10.491948,,,,2,,,,,,,0,0,0,3615046.0,3202513.0,3703096.5,
137,105.03351278378551,5.675162,,,,53,,,,,,,0,0,0,2467678.5,1846915.0,2597630.5,
742,109.02244721824754,10.338952,,,,7,,,,,,,0,0,0,7381046.5,5669208.0,5644671.0,
781,109.52167766410908,10.41111,,,,7,,,,,,,0,0,0,5096003.0,4941068.0,5259094.5,
732,110.02006318968085,10.331831,,,,7,,,,,,,0,0,0,9.046508E7,8.930242E7,9.133548E7,
739,110.52174245747968,10.335481,,,,7,,,,,,,0,0,0,6168187.0,6615303.0,7821718.5,
768,111.02017824823547,10.376733,,,,7,,,,,,,0,0,0,7.939425E7,7.915511E7,8.0734264E7,
817,111.03900516687047,10.534823,,,,2,,,,,,,0,0,0,1.2155978E7,1.0615713E7,1.1574239E7,
761,111.51890979475267,10.373242,,,,7,,,,,,,0,0,0,2008572.1,1924844.1,2014142.6,
762,111.52175033211928,10.373242,,,,7,,,,,,,0,0,0,6787262.5,6691522.5,6880642.5,
769,112.01780929944148,10.376733,,,,7,,,,,,,0,0,0,3.1093494E7,3.0950596E7,3.1442178E7,
770,112.51954674807037,10.376733,,,,7,,,,,,,0,0,0,2206800.8,2166385.2,2212751.0,
697,112.9857057744512,10.203168,,,,33,,,,,,,2.5773618E7,1.6760714E7,1.7659694E7,0,0,0,
771,113.0165646811618,10.376733,,,,7,,,,,,,0,0,0,4348225.0,4360230.5,4455318.5,
609,113.92627902729295,8.944803,,,,41,,,,,,,2.2301044E7,2.16522E7,2.210496E7,0,0,0,
738,113.96356150237007,10.333573,,,,7,,,,,,,0,0,0,7057517.0,8225338.5,7176085.0,
5,113.96375415370754,0.03678189,,,,0,,,,,,,0,0,0,2782697.0,2728314.8,2835497.2,
11,113.96376730081373,0.3232884,,,,4,,,,,,,0,0,0,2057201.1,1645683.8,2389126.8,
759,114.01646631772753,10.371555,,,,7,,,,,,,0,0,0,1105818.0,1043150.6,1113333.8,
427,114.93406394582047,7.8737926,,,,36,,,,,,,1749432.9,2125077.0,2031792.0,0,0,0,
289,114.93408970820367,7.3720627,,,,,,,,,,,1162393.6,599014.25,1164676.5,0,0,0,
500,114.93410050417947,8.221858,,,,,,,,,,,1541489.5,2621067.0,1440978.1,0,0,0,
581,114.93411199006762,8.881494,,,,,,,,,,,6790501.0,2448755.0,2597881.8,0,0,0,
611,114.93411971762828,8.923827,,,,,,,,,,,2546039.8,6267488.0,6708213.5,0,0,0,
