row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-6MSAS_2_Run108.mzML Peak area,2024_POS_Y-6MSAS_3_Run135.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-6MSAS_1_Run91.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,
1419,81.52053579277312,10.596293,,,,54,,,,,,,1298430.9,2001832.1,3097914.5,2048135.9,1910656.9,2801214.8,
81,86.05998579738257,0.37101516,,,,66,7,[M-H2O+NH4]+,,2,81;88,86.03672,2535565.2,1925771.2,2011222.9,2146844.8,2427282.2,2376739.0,
305,86.09637483517434,0.756715,,,,17,,,,,,,2.9222214E7,2.7829434E7,3.0249092E7,3.1438838E7,2.7410042E7,3.755976E7,
11,86.99266681135691,0.3096648,,,,6,,,,,,,2191176.2,2268031.0,1827578.2,2075990.8,2112317.2,1898474.2,
88,87.04400491027407,0.37182876,,,,66,7,[M+H]+,,3,81;89;88,86.03672,4662048.0,3359485.8,2487744.8,3150667.2,4329606.0,2122963.5,
301,87.09972120699666,0.74913955,,,,,,,,,,,919030.4,366806.16,524712.06,1011259.3,1488640.2,1151710.5,
13,88.9902002865668,0.31047833,,,,6,,,,,,,284126.22,277937.56,225671.9,257233.16,272240.12,230743.7,
1415,89.50666976192822,10.461749,,,,5,,,,,,,3121094.2,3404151.0,3014305.5,4038837.2,3710664.8,4362821.5,
1422,89.50668054133865,11.257121,,,,,,,,,,,872979.8,488180.7,722313.3,705397.06,4159916.0,3885134.8,
130,90.05489447205271,0.38728622,,,,66,,,,,,,1768891.8,3401848.8,3690853.8,3453285.0,3108208.0,2021661.2,
1289,90.9765821982673,9.987792,,,,,,,,,,,415365.56,293511.0,144412.62,251695.27,385582.84,10318.33,
48,90.9765835421598,0.34741876,,,,60,,,,,,,665725.7,647541.94,683046.06,614941.9,622297.94,751666.2,
1348,90.97658585715435,10.275763,,,,49,,,,,,,1107538.2,700608.5,485212.8,677817.06,505480.56,282108.38,
500,92.04937628623452,2.824647,,,,2,,,,,,,983452.44,887633.0,908170.0,1039924.25,904998.94,1323065.5,
308,92.1101621171452,0.76022434,,,,17,22,[M-H2O+H]+,,2,308;306,109.11306,3373048.2,3251780.8,3681664.2,3355009.5,3363757.8,2930042.2,
382,99.51213436900268,2.1124246,,,,,,,,,,,604648.75,125473.984,251750.94,186223.0,75936.74,371107.56,
1420,102.03377012369582,10.601237,,,,54,,,,,,,2721007.0,4494014.0,5038657.0,3663893.2,3584816.8,5065212.0,
