row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp11_2_Run123.mzML Peak area,POS_TJGIp11_3_Run149.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGIp11_1_Run25.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,
7275,81.52048008271144,10.575883,,,,160,,,,,,,1.9447778E7,2.0975014E7,2.0330492E7,1.932696E7,1.2462171E7,1.0930083E7,
43,83.02155051203998,0.3713592,,,,198,,,,,,,1168046.4,744964.75,695760.1,443049.25,117808.4,925369.25,
115,83.04912051980565,0.42676225,,,,,,,,,,,1361175.4,727408.25,193496.98,95195.48,318394.34,1276522.5,
7286,84.9596202219424,10.605971,,,,,,,,,,,692908.44,1474271.9,885299.94,1065688.8,771105.9,797549.94,
138,84.95971604667872,0.5123287,,,,,,,,,,,772318.9,460638.62,935086.5,1016364.6,626275.7,329141.2,
131,85.02841532823571,0.47070852,,,,,,,,,,,1326418.1,444410.66,163554.66,128442.95,500132.66,292944.72,
186,86.0600816621179,0.75115305,,,,,,,,,,,407628.62,119947.52,288769.25,164002.6,327335.97,1558851.8,
124,86.09641033535569,0.45883605,,,,,,,,,,,167689.75,150134.98,224805.0,348697.5,201496.2,96101.31,
143,86.0964313916357,0.5616544,,,,,,,,,,,906791.1,262166.62,271063.38,363237.25,612526.4,253938.94,
229,86.0964323919667,0.9918205,,,,,,,,,,,188931.02,66552.33,128490.54,104759.19,86885.734,112737.56,
255,86.09644505499305,1.2171928,,,,,,,,,,,213493.72,38296.55,86714.81,209827.58,158604.84,111993.92,
178,86.0964467382351,0.7567434,,,,,,,,,,,3984434.2,3329479.2,2311470.8,1747173.1,2395264.2,140926.78,
208,86.09645553008266,0.88869375,,,,,,,,,,,464335.94,51938.68,290758.75,245333.12,175320.64,106158.766,
76,87.04405483623204,0.38175568,,,,198,,,,,,,2030207.2,217361.31,1008534.3,938313.06,128046.78,1264428.5,
491,87.04415258005555,3.3021853,,,,77,,,,,,,10522.808,28812.621,1744242.0,1678397.4,52880.895,2501364.0,
610,88.0216065235399,3.6963806,,,,,,,,,,,3566.0098,0,243793.14,212226.08,0,415053.3,
7241,90.50664021119144,10.4809885,,,,,,,,,,,722571.75,772088.7,660233.0,736907.6,1321786.2,1193958.5,
7277,90.52581841209324,10.578462,,,,160,,,,,,,4.067988E7,4.2685084E7,4.075902E7,3.454431E7,2.8317806E7,2.5556516E7,
21,90.97663658653188,0.3363435,,,,24,,,,,,,866775.9,628894.94,771972.6,809093.56,718246.0,1124686.0,
3387,91.05421541727058,6.4694614,,,,,,,,,,,392174.84,374058.8,389777.7,451423.6,560799.44,1117498.4,
7256,94.04500768908561,10.519688,,,,202,,,,,,,3744084.2,4310498.0,3544035.2,3881946.2,2865724.0,2823702.2,
110,95.04910651091144,0.40609193,,,,,,,,,,,369448.66,140342.66,229805.03,69181.586,151920.44,1323119.4,
7276,97.99127095503991,10.577638,,,,160,,,,,,,8012134.5,8761201.0,8213572.5,8150723.5,5363139.0,4909932.0,
