row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C1-a_Run92.mzML Peak area,NEG_D5-211-C1-b_Run95.mzML Peak area,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,NEG_D5-211-C1-c_Run98.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,
45,85.02932706711472,0.38610575,,,,27,,,,,,,694268.5,696526.9,737629.56,777032.9,837560.75,789013.9,
74,85.02934563400729,0.58279806,,,,20,,,,,,,388221.06,438353.9,467717.88,446445.72,510947.5,615630.0,
68,89.02428157377763,0.4269363,,,,,,,,,,,137439.6,91953.01,81900.39,60639.727,212671.12,390513.44,
545,96.96006656012882,11.095757,,,,,,,,,,,680959.5,753794.0,841201.5,1529284.0,802435.6,900127.4,
16,96.96010709223911,0.3515601,,,,27,,,,,,,5.4218532E7,5.4164196E7,9.256983E7,5.6784064E7,8.390231E7,1.1072339E8,
26,96.96937043016182,0.3584232,,,,27,,,,,,,1.5577584E7,1.6914374E7,1.4136222E7,1.739429E7,1.4160202E7,1.7415444E7,
14,98.95579487603334,0.35068998,,,,27,,,,,,,2360369.0,2368054.0,4049379.0,2499227.5,3691021.8,4852921.0,
395,99.92577296053581,8.794562,,,,38,,,,,,,6.7812536E7,6.77567E7,5.5844468E7,6.4358404E7,5.2549636E7,5.0850188E7,
405,100.93359430028407,8.8102255,,,,38,,,,,,,5.1092548E7,5.2222896E7,6.454678E7,5.3974876E7,6.021454E7,5.937885E7,
368,101.9808423341728,8.705764,,,,,,,,,,,2676716.0,2985114.2,1240997.6,1783048.1,1760368.4,1583594.0,
425,101.98084870335838,8.950546,,,,4,,,,,,,3401159.5,3399217.5,6077206.0,6665854.0,6455545.0,6359520.0,
478,101.98087563032017,9.615481,,,,,,,,,,,1216801.1,802831.44,549618.44,1085381.0,1028860.4,983435.06,
475,101.98088075788881,9.39785,,,,,,,,,,,1071391.0,843027.0,920455.0,1026555.75,1101888.2,1149702.5,
495,101.9808833462672,10.019428,,,,34,,,,,,,1782145.2,901356.75,797763.75,1023681.3,863306.3,924293.7,
432,102.95680220975692,8.963639,,,,4,,,,,,,1772023.1,1643011.6,1540077.9,1758259.8,1626869.9,1706891.0,
504,102.95682957122902,10.177711,,,,,,,,,,,891296.6,788564.2,720023.6,836736.9,667270.6,689183.7,
55,111.00873755600996,0.3930268,,,,27,,,,,,,5158148.5,4964981.0,5621319.0,5459185.5,5787456.5,5371768.0,
52,111.01992706303334,0.389622,,,,27,,,,,,,1553428.8,1589687.5,2995131.0,1618753.4,3384848.2,9554880.0,
278,112.98564141935331,7.8726387,,,,,,,,,,,6322237.5,6111069.0,9266560.0,6473434.5,1.0080119E7,9583707.0,
442,112.98567380728154,8.967128,,,,4,,,,,,,8025912.0,6212821.0,6577795.0,5535635.5,7137746.5,8252140.0,
505,112.98567583340757,10.187584,,,,,,,,,,,9727664.0,1.2920884E7,1.4949405E7,1.297986E7,1.3456978E7,1.4138198E7,
406,113.92626080807251,8.812118,,,,38,,,,,,,1.9152706E7,2.2601058E7,5741393.5,2.3584132E7,2.0030294E7,2.1385308E7,
416,113.9262620055556,8.847193,,,,,,,,,,,5675939.0,5845054.5,2.1425272E7,5950500.5,5492794.0,5370789.5,
188,114.93407668771128,7.3708096,,,,19,,,,,,,643299.8,673426.56,775412.94,869267.7,878201.0,1005206.0,
260,114.93407953589455,7.873516,,,,2,,,,,,,1350469.9,1404507.5,3923872.0,1790388.1,3835831.5,3573632.0,
221,114.93408488642154,7.7690625,,,,24,,,,,,,996722.4,734399.1,1382408.0,864624.75,1456305.0,1532052.8,
398,114.93408987483092,8.793688,,,,,,,,,,,8532000.0,8602552.0,1954198.2,8705632.0,1944748.9,1932889.2,
320,114.93409383954697,8.216938,,,,25,,,,,,,1102042.2,1059136.1,2310395.2,1106990.0,2593703.2,3114751.5,
62,115.00362754564078,0.3896588,,,,27,,,,,,,728036.75,1173696.9,143713.95,1149106.6,197106.02,129413.3,
402,115.92071561757155,8.802384,,,,38,,,,,,,4.2445974E8,4.3825453E8,4.09033E8,4.4655427E8,3.8076778E8,4.0799696E8,
63,116.07165710402619,0.42213884,,,,,,,,,,,812423.6,1084540.0,57435.746,101844.086,149619.14,270608.5,
261,116.92844040279176,7.873516,,,,2,,,,,,,2.4782324E7,2.7218186E7,7.039336E7,3.4090396E7,7.163831E7,6.942633E7,
224,116.92844547129145,7.7681623,,,,24,,,,,,,1.9044452E7,1.3161622E7,2.6316296E7,1.5825622E7,2.7924852E7,2.9336672E7,
189,116.92847396446899,7.3708053,,,,19,,,,,,,1.2335856E7,1.2964754E7,1.5537813E7,1.678217E7,1.7655614E7,1.9481938E7,
88,117.01934208283261,0.8399262,,,,,,,,,,,28837.254,116331.97,131188.97,116696.99,64529.91,96245.99,
81,117.0193523996636,0.66863036,,,,,,,,,,,6705489.5,1.0030757E7,6961450.5,6439538.0,5903218.5,9064650.0,
94,117.05571696509901,2.1479557,,,,,,,,,,,89924.06,107821.266,277106.16,186857.55,316710.8,639036.44,
255,117.92854940063945,7.87265,,,,2,,,,,,,2982033.2,3093137.0,8231066.0,3938776.8,8418889.0,8070851.5,
225,117.9285541780291,7.7681623,,,,24,,,,,,,2211370.5,1589977.9,3033445.2,1825624.6,3214081.8,3403749.5,
314,117.92855796291268,8.216941,,,,25,,,,,,,2434335.2,3174397.0,5943876.0,2483538.8,6202175.0,6796124.0,
195,117.9285800665541,7.3725743,,,,19,,,,,,,1431055.6,1490986.9,1816391.6,1921418.4,2054288.6,2226538.5,
35,118.05092107260093,0.37924924,,,,,,,,,,,63986.83,743973.5,168292.16,126910.5,148481.83,479642.38,
257,118.92406326225468,7.875286,,,,2,,,,,,,311768.16,419271.62,2130508.5,720009.94,2213051.0,2141550.0,
521,118.92408977462253,10.337005,,,,,,,,,,,508291.2,516742.6,497319.1,518156.56,491727.12,509275.03,
322,118.92411512525467,8.216947,,,,25,,,,,,,239503.45,153653.16,434264.53,139925.92,313547.16,427842.16,
253,118.92671459439471,7.8717766,,,,2,,,,,,,731448.1,749758.75,2111296.0,980957.8,1943342.5,2056716.4,
390,118.92671692561548,8.787668,,,,38,,,,,,,4343862.0,4629445.5,2937265.2,4403105.5,1043105.7,1050799.0,
223,118.92672112463278,7.784189,,,,24,,,,,,,747699.4,566008.5,753985.0,480710.6,812860.3,885906.5,
312,118.92673510339228,8.215201,,,,25,,,,,,,614600.6,562855.06,1420843.9,611009.4,1605568.9,1234394.6,
266,118.9325430944806,7.87264,,,,2,,,,,,,300716.5,202428.52,595614.8,281162.88,687782.7,687664.0,
317,118.93258336662802,8.216067,,,,25,,,,,,,85607.34,147660.12,479180.34,200515.48,380247.06,373840.5,
384,118.9325958886058,8.753649,,,,,,,,,,,137179.69,138839.53,61277.395,90785.945,509133.06,157598.86,
426,119.94682613009712,8.955786,,,,4,,,,,,,921925.6,980402.8,661845.44,987647.25,730150.94,1252390.4,
370,119.94682865031263,8.6979265,,,,,,,,,,,4077091.0,4196181.5,963423.3,4298880.5,906331.25,3395151.0,
434,124.00151099424069,8.964515,,,,4,,,,,,,1000134.56,936822.6,1190035.6,1063216.4,1041489.7,1028044.1,
464,124.00151963794814,9.156167,,,,,,,,,,,613053.7,588382.7,689917.9,652786.0,727971.2,659761.94,
484,124.00154381556202,9.616342,,,,,,,,,,,513046.8,624662.1,341007.84,719923.94,546398.7,241626.12,
474,124.00154559896885,9.395221,,,,,,,,,,,452505.47,200994.12,255133.16,257926.4,467265.9,390528.22,
496,124.00154955282187,10.028404,,,,34,,,,,,,1762500.0,593889.9,549267.75,749204.25,512205.2,605635.56,
369,124.99671882921383,8.711841,,,,,,,,,,,927183.3,1138599.9,538096.8,525014.0,456084.8,526219.25,
427,124.99673889092996,8.954919,,,,4,,,,,,,1317577.2,1274810.8,2820117.5,2495446.0,3140471.5,3007812.2,
525,126.88094738498216,10.425827,,,,37,,,,,,,1330498.0,1267755.2,613246.6,1247304.2,541981.3,484536.53,
67,128.0352799838459,0.4309949,,,,27,,,,,,,2109404.2,3042624.5,1377591.6,2261120.8,1277851.5,2324376.2,
