row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp11_2_Run124.mzML Peak area,NEG_TJGIp11_3_Run150.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp11_1_Run26.mzML Peak area,
56,89.02431132086924,0.5028966,,,,,,,,,,,1474720.8,1364576.5,1234155.9,318167.0,159543.7,440356.53,
13,92.9279406865722,0.34977093,,,,,,,,,,,252152.98,584895.7,684414.1,466966.3,718702.06,470730.47,
3211,92.92795462371828,10.267914,,,,,,,,,,,0,0,0,0,348263.6,44369.688,
1438,96.96004394404932,5.9362917,,,,,,,,,,,213947.89,285506.28,161916.39,591229.9,6921.543,0,
3301,96.96004988918753,11.028965,,,,,,,,,,,4220628.0,4319244.5,4036113.0,4058776.8,2944546.8,3271780.0,
11,96.96009840853763,0.34312204,,,,81,,,,,,,3391302.0,3457486.8,3906556.0,1988467.6,5279361.0,3025471.2,
42,96.96953739279867,0.39045087,,,,81,,,,,,,2817780.0,3194722.0,3949363.5,2698841.5,3762788.5,4666218.5,
2961,99.92575851607285,8.454026,,,,,,,,,,,6773269.0,4429160.5,2.939347E7,3.82633E7,7808937.0,5.0101904E7,
2792,99.92576464377333,8.142461,,,,7,,,,,,,3.806818E7,3.2378754E7,5176365.0,6046705.5,3.0641618E7,8725032.0,
2950,100.93356718577168,8.441746,,,,,,,,,,,7034706.0,1357070.1,2022399.6,2370981.8,5351218.0,4.013255E7,
2809,100.93358101958047,8.16722,,,,7,,,,,,,1.8416428E7,4370382.0,3964476.2,2.0438144E7,9976747.0,8165852.5,
2218,100.93359209802075,7.4544578,,,,,,,,,,,1984445.2,2039672.0,1980834.0,2356562.5,2257695.8,2002616.0,
2953,101.93371562753681,8.43843,,,,,,,,,,,494008.7,309434.7,306770.4,116796.36,607083.8,1681429.0,
3224,102.95684373466308,10.276182,,,,,,,,,,,77245.35,30093.826,51264.2,123877.945,697101.75,164924.69,
2934,106.0410213696787,8.429998,,,,,,,,,,,721816.5,796625.25,1476601.6,146300.61,6019.629,0,
2974,106.041021562994,8.472892,,,,,,,,,,,361172.2,142929.1,708366.9,146300.61,6019.629,16037.633,
2986,106.0410277675379,8.534908,,,,,,,,,,,769985.9,468373.4,879033.9,40779.78,6019.629,16037.633,
3190,106.04105060445158,10.176358,,,,,,,,,,,169131.55,441022.4,782661.25,176500.47,0,19033.922,
3093,106.04106580325549,9.430135,,,,,,,,,,,791412.2,669288.2,397003.62,78812.59,8993.395,0,
3142,106.04106877326306,9.869961,,,,,,,,,,,349451.7,526645.75,75851.72,129720.18,0,0,
3154,106.04107231890153,10.098043,,,,,,,,,,,2520014.5,989800.75,3653100.2,176500.47,9336.943,20142.064,
3135,106.04108892339836,9.770447,,,,,,,,,,,966817.9,1073634.0,298813.25,101440.64,0,36239.36,
3203,112.98562076140816,10.2457695,,,,,,,,,,,8466706.0,7671776.0,6408581.5,9305361.0,1.7180678E7,1.1888307E7,
3259,112.98563907510123,10.464412,,,,,,,,,,,3967584.8,5319117.5,4565382.5,3901738.5,2095412.5,367306.12,
