row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C4-a_Run314.mzML Peak area,NEG_D5-227-C4-b_Run317.mzML Peak area,NEG_D5-227-C4-c_Run320.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
614,97.93121373375199,8.912,,,,,,,,,,,791254.06,1102353.2,2985000.5,0,0,0,
828,97.99136005878262,10.527814,,,,10,,,,,,,0,0,0,9588389.0,9013835.0,9387882.0,
744,98.51203785799709,10.33183,,,,49,,,,,,,0,0,0,2.3580524E7,2.2551964E7,2.2928398E7,
603,99.92570474867489,8.906281,,,,29,,,,,,,6.209999E7,6.309992E7,7.12499E7,0,0,0,
638,101.98078109328998,8.959454,,,,44,,,,,,,4657271.0,4983034.5,4009652.2,0,0,0,
580,101.98078158620888,8.707091,,,,,,,,,,,956071.25,944983.75,1408763.1,0,0,0,
695,101.98078626849876,10.025306,,,,,,,,,,,535649.94,578902.3,511366.7,0,0,0,
808,102.03386413707945,10.483439,,,,10,,,,,,,0,0,0,1.4028165E8,1.3853955E8,1.4515152E8,
813,102.53543267308315,10.485185,,,,10,,,,,,,0,0,0,1.2205041E7,1.1980027E7,1.2592613E7,
647,102.95672233977434,8.964668,,,,44,,,,,,,723152.7,652191.94,649858.8,0,0,0,
709,102.95673133113462,10.189984,,,,,,,,,,,1308031.0,1354025.6,1298865.2,0,0,0,
819,104.03021741467592,10.491948,,,,10,,,,,,,0,0,0,3615046.0,3202513.0,3703096.5,
141,105.03351278378553,5.675162,,,,5,,,,,,,0,0,0,2467678.5,1846915.0,2597630.5,
755,109.02244721824754,10.338952,,,,49,,,,,,,0,0,0,7381046.5,5669208.0,5644671.0,
797,109.52167766410908,10.41111,,,,49,,,,,,,0,0,0,5096003.0,4941068.0,5259094.5,
745,110.02006318968085,10.33183,,,,49,,,,,,,0,0,0,9.046508E7,8.930242E7,9.133548E7,
752,110.52174245747968,10.33548,,,,49,,,,,,,0,0,0,6168187.0,6615303.0,7821718.5,
781,111.02017824823547,10.376733,,,,49,,,,,,,0,0,0,7.939425E7,7.915511E7,8.0734264E7,
830,111.03900516687044,10.534823,,,,10,,,,,,,0,0,0,1.2155978E7,1.0615713E7,1.1574239E7,
774,111.51890979475267,10.373242,,,,49,,,,,,,0,0,0,2008572.1,1924844.1,2014142.6,
775,111.52175033211928,10.373242,,,,49,,,,,,,0,0,0,6787262.5,6691522.5,6880642.5,
782,112.01780929944148,10.376733,,,,49,,,,,,,0,0,0,3.1093494E7,3.0950596E7,3.1442178E7,
783,112.51954674807037,10.376733,,,,49,,,,,,,0,0,0,2206800.8,2166385.2,2212751.0,
713,112.98557702915713,10.205953,,,,9,,,,,,,1.5277678E7,1.5148545E7,1.5652333E7,0,0,0,
784,113.0165646811618,10.376733,,,,49,,,,,,,0,0,0,4348225.0,4360230.5,4455318.5,
621,113.9261837114746,8.939927,,,,29,,,,,,,1.8400992E7,1.7925602E7,1.9665862E7,0,0,0,
750,113.96356150237007,10.333573,,,,49,,,,,,,0,0,0,7057517.0,8225338.5,7176085.0,
5,113.96375415370755,0.036781892,,,,0,,,,,,,0,0,0,2782697.0,2728314.8,2835497.2,
12,113.9637673008137,0.3232884,,,,4,,,,,,,0,0,0,2057201.1,1645683.8,2389126.8,
772,114.01646631772753,10.371556,,,,49,,,,,,,0,0,0,1105818.0,1043150.6,1113333.8,
363,114.93397911785856,7.7664566,,,,52,,,,,,,1140165.4,1103745.2,1126387.2,0,0,0,
426,114.93398355748506,7.8708496,,,,7,,,,,,,2350904.0,2624097.5,2747745.5,0,0,0,
618,114.93402093496086,8.934962,,,,29,,,,,,,7670353.0,7348436.0,7364331.5,0,0,0,
496,114.93404025470231,8.215294,,,,1,,,,,,,1399716.1,1398988.2,1303450.2,0,0,0,
625,115.92063889736666,8.943411,,,,29,,,,,,,3.514355E8,3.5939334E8,3.7276717E8,0,0,0,
791,115.96396473687366,10.383458,,,,49,,,,,,,0,0,0,2001137.5,2156360.2,2425267.5,
364,116.92836265454552,7.7664566,,,,52,,,,,,,2.1015272E7,2.1175624E7,2.3097268E7,0,0,0,
427,116.92836524419958,7.8708496,,,,7,,,,,,,4.549946E7,5.1504176E7,5.8280464E7,0,0,0,
274,116.92840818222248,7.366465,,,,3,,,,,,,1.3832391E7,1.43211E7,1.790135E7,0,0,0,
15,116.97193839527108,0.32510504,,,,,,,,,,,0,0,0,983248.2,593772.5,930963.44,
23,117.01920749664004,0.6821006,,,,,,,,,,,2463412.5,1921375.5,2388353.5,0,0,0,
428,117.92846387179337,7.8708496,,,,7,,,,,,,4821458.5,5971956.5,5885540.0,0,0,0,
365,117.92846667763973,7.7664566,,,,52,,,,,,,2434591.0,2459305.5,2641821.8,0,0,0,
281,117.92850723304743,7.3682113,,,,3,,,,,,,1594936.8,1633992.0,2067478.5,0,0,0,
505,117.92850727801556,8.217068,,,,1,,,,,,,3149547.8,3450950.5,2887368.5,0,0,0,
142,118.06509208309906,5.675162,,,,5,,,,,,,0,0,0,1088992.5,832281.06,1140044.9,
420,118.92397105415854,7.869097,,,,7,,,,,,,1724383.6,1312639.4,1703957.4,0,0,0,
368,118.92397768915332,7.766481,,,,53,,,,,,,1092582.0,1145068.1,1163879.5,0,0,0,
751,118.92399693160546,10.334049,,,,,,,,,,,429108.44,440371.53,436933.66,0,0,0,
526,118.92407356683113,8.280128,,,,,,,,,,,244498.44,141019.48,231596.22,0,0,0,
437,118.92661665312875,7.8726006,,,,7,,,,,,,1463722.0,1419889.5,1424215.1,0,0,0,
604,118.92664261209711,8.908027,,,,29,,,,,,,3893208.0,4129549.8,3821705.0,0,0,0,
500,118.9266874692426,8.215322,,,,1,,,,,,,650457.1,758524.4,818676.7,0,0,0,
180,119.08557721730396,6.1017194,,,,19,,,,,,,0,0,0,2233152.8,1330526.4,1468033.6,
630,119.9467712166426,8.954183,,,,44,,,,,,,5684150.0,6107942.0,6804426.5,0,0,0,
40,120.04446351096698,2.8335507,,,,28,,,,,,,0,0,0,2504766.0,2561646.0,2225040.0,
796,123.90191311514968,10.40939,,,,55,,,,,,,2192496.5,2113842.8,2153754.5,0,0,0,
639,124.99665805749488,8.959454,,,,44,,,,,,,2381028.5,2603527.5,2777689.5,0,0,0,
822,125.98618990855489,10.497533,,,,10,,,,,,,0,0,0,2.1710632E7,2.3375738E7,2.2511954E7,
792,126.88086908736426,10.398709,,,,55,,,,,,,916827.3,863018.94,843736.0,0,0,0,
20,128.95081370508464,0.4231714,,,,,,,,,,,0,0,0,2565770.5,2388062.0,2683212.5,
644,129.97558915123685,8.962934,,,,44,,,,,,,3877399.2,3074939.5,4541174.5,0,0,0,
798,130.52164045572985,10.41111,,,,49,,,,,,,0,0,0,2255533.8,2379528.2,2290723.8,
776,131.53348820498582,10.373242,,,,49,,,,,,,0,0,0,6902001.0,6743107.5,7144073.5,
334,131.53357256762453,7.6078906,,,,,,,,,,,0,0,0,2525547.2,989279.8,2123222.5,
666,132.86770452695822,8.975113,,,,44,,,,,,,1996214.1,2813041.5,2577529.5,0,0,0,
563,132.86771477918668,8.598137,,,,26,,,,,,,2339106.8,2155469.5,2333809.5,0,0,0,
799,132.86774636493612,10.411186,,,,55,,,,,,,5524579.5,5360938.5,5284703.5,0,0,0,
470,132.9000261165567,7.90912,,,,,,,,,,,156253.4,228478.28,284654.9,0,0,0,
627,132.90005845091287,8.941945,,,,,,,,,,,946206.2,805029.5,2437384.8,0,0,0,
492,132.9000810345561,8.220585,,,,,,,,,,,474926.22,505688.7,428436.84,0,0,0,
527,132.90011187054242,8.280128,,,,,,,,,,,176554.97,210665.27,519966.72,0,0,0,
599,132.92330482369871,8.892272,,,,29,,,,,,,1.3394141E7,1.4180509E7,1.6318158E7,0,0,0,
668,134.8649081625341,8.980314,,,,44,,,,,,,1631169.4,1852357.8,1670348.4,0,0,0,
572,134.86495402379032,8.657989,,,,26,,,,,,,1223971.6,1433644.8,1562886.6,0,0,0,
706,134.86497898520463,10.164653,,,,,,,,,,,477101.75,663359.9,711084.06,0,0,0,
794,134.86537824421941,10.402287,,,,55,,,,,,,5600422.5,5485636.5,5439614.5,0,0,0,
467,134.89447716308996,7.89343,,,,7,,,,,,,6471448.0,5652207.5,5681782.0,0,0,0,
628,134.8945147869476,8.945447,,,,29,,,,,,,6.4625052E7,5.922226E7,4.7781984E7,0,0,0,
518,134.8945420177332,8.222344,,,,1,,,,,,,9736813.0,8228098.5,8597314.0,0,0,0,
528,134.89456849052706,8.313548,,,,,,,,,,,4909781.5,7656656.5,1.3453565E7,0,0,0,
648,135.97078550593093,8.96467,,,,44,,,,,,,1020094.4,924775.75,1031342.56,0,0,0,
578,135.9707957340216,8.69316,,,,26,,,,,,,1601512.2,1480006.9,1587195.0,0,0,0,
548,136.02163129293106,8.420563,,,,,,,,,,,0,0,0,4750310.0,4908357.5,4705572.0,
29,136.03948262867405,1.7421871,,,,11,,,,,,,0,0,0,2152909.8,2348383.2,4251467.5,
793,136.8627651523103,10.402282,,,,55,,,,,,,1729027.9,1675593.9,1675366.9,0,0,0,
41,138.05508238892745,2.8335507,,,,28,,,,,,,0,0,0,699165.94,729429.0,635383.44,
26,138.0550898729762,1.6896406,,,,,,,,,,,0,0,0,2189070.2,2169571.0,3493681.5,
746,138.99532350947152,10.33183,,,,49,,,,,,,0,0,0,4422416.5,4209994.0,4454389.5,
826,139.01789108739703,10.520473,,,,10,,,,,,,0,0,0,1.0482867E7,1.0097925E7,1.011755E7,
622,139.94435661363045,8.940187,,,,29,,,,,,,6165620.5,6433683.5,6195191.0,0,0,0,
762,139.98787748072073,10.36626,,,,49,,,,,,,0,0,0,2.7495566E7,2.6880322E7,2.7274766E7,
732,140.0681798605458,10.248431,,,,,,,,,,,0,0,0,560391.5,659295.6,596098.6,
414,140.0682495941808,7.864448,,,,45,,,,,,,0,0,0,387615.97,367544.5,402318.38,
303,140.06827301154033,7.374965,,,,27,,,,,,,0,0,0,469224.88,415988.38,470809.44,
32,140.06828125057984,2.4381814,,,,,,,,,,,0,0,0,86922.38,43240.918,86683.18,
59,140.0682886495974,3.7444277,,,,,,,,,,,0,0,0,104845.33,70989.58,104798.42,
756,141.95852633580583,10.333577,,,,,,,,,,,0,0,0,2114861.0,1692146.6,1749764.6,
2,141.9587240582746,0.033175692,,,,0,,,,,,,0,0,0,8401688.0,1.1490568E7,1.0876501E7,
11,141.95873565848458,0.32146966,,,,4,,,,,,,0,0,0,1.4746755E7,8587854.0,5522232.0,
763,141.9833240192164,10.36626,,,,49,,,,,,,0,0,0,1.0441034E7,1.036238E7,1.0472705E7,
611,142.9287665347931,8.918471,,,,29,,,,,,,3067597.5,3464043.5,3564622.5,0,0,0,
7,143.9591174068542,0.31966695,,,,,,,,,,,0,0,0,490633.8,283899.4,840383.1,
1,143.95914080933593,0.034982607,,,,,,,,,,,0,0,0,91169.72,221170.83,248489.75,
765,143.9808681955501,10.368,,,,49,,,,,,,0,0,0,1370583.1,1370528.0,1361345.8,
606,144.92326380855056,8.909692,,,,29,,,,,,,7.755743E7,7.680299E7,7.430321E7,0,0,0,
707,144.98217381918678,10.175268,,,,62,,,,,,,0,0,0,7507640.0,2.1425664E7,1.5264123E7,
837,145.03525844783022,10.941455,,,,,,,,,,,0,0,0,9413920.0,9211714.0,9322635.0,
605,145.92342396243308,8.909675,,,,29,,,,,,,8104090.0,8567727.0,8459452.0,0,0,0,
631,146.96575697887212,8.954198,,,,44,,,,,,,8205036.5,8079515.0,9468863.0,0,0,0,
579,146.96577914723602,8.701883,,,,,,,,,,,4.0301916E7,4.088552E7,4.3189156E7,0,0,0,
705,146.9802866973623,10.167394,,,,62,,,,,,,0,0,0,3439236.0,9715590.0,3229767.8,
836,147.03088270169232,10.845202,,,,,,,,,,,0,0,0,5764449.0,5561993.0,5763578.5,
158,147.08046984462678,5.831631,,,,39,,,,,,,0,0,0,295731.25,233216.47,255060.53,
181,147.080530559483,6.1017194,,,,19,,,,,,,0,0,0,3.37832E7,2.0449328E7,2.2549684E7,
624,150.88931959406028,8.9419365,,,,29,,,,,,,2852228.5,2968168.5,3321030.0,0,0,0,
532,150.88937890296103,8.341992,,,,,,,,,,,2138658.5,2323869.8,1848336.1,0,0,0,
758,152.99488280379987,10.343906,,,,49,,,,,,,0,0,0,1759399.0,1670331.0,1536843.1,
823,154.0049389944828,10.497665,,,,10,,,,,,,0,0,0,2515498.2,2444328.2,2517970.5,
28,154.04996796111053,1.7421814,,,,11,,,,,,,0,0,0,1008220.44,1111081.8,2011934.6,
753,154.99016772150534,10.33548,,,,49,,,,,,,0,0,0,3.06347E7,2.7373912E7,2.9119792E7,
788,156.9906075590908,10.37848,,,,49,,,,,,,0,0,0,7892164.0,7797681.0,7868386.5,
720,158.96406228704416,10.230296,,,,14,,,,,,,0,0,0,1906315.6,2624077.2,1869687.1,
790,158.9860313455945,10.381978,,,,49,,,,,,,0,0,0,3095836.5,3042893.8,3145120.2,
3,159.96921900056975,0.034979135,,,,0,,,,,,,0,0,0,4326045.5,4641526.5,4479709.5,
8,159.96925114742473,0.31784475,,,,4,,,,,,,0,0,0,4295066.0,4084891.5,5161697.0,
805,160.84193702974835,10.480998,,,,37,,,,,,,2948118.2,2827359.5,2739812.8,0,0,0,
607,160.9181704853132,8.911434,,,,,,,,,,,3377540.0,3446645.5,3371555.8,0,0,0,
588,161.9134530533878,8.762886,,,,,,,,,,,4286570.0,4576482.5,4696770.0,0,0,0,
806,162.83897400069245,10.480998,,,,37,,,,,,,2759211.8,2629075.5,2570972.2,0,0,0,
742,163.99046213743654,10.328528,,,,49,,,,,,,0,0,0,3114640.2,3112184.2,2318191.0,
807,164.83591248583957,10.480998,,,,37,,,,,,,808661.3,765057.0,746695.44,0,0,0,
809,164.92708763638757,10.484556,,,,35,,,,,,,1195174.6,1200031.5,1136235.0,0,0,0,
44,165.05553206578614,3.0911474,,,,,,,,,,,511670.97,445629.53,972734.75,0,0,0,
182,165.09111488084397,6.1017194,,,,19,,,,,,,0,0,0,1798361.6,1058426.0,1163049.0,
795,165.9829019781305,10.4041605,,,,49,,,,,,,0,0,0,2999492.8,2994280.8,2786776.0,
824,167.01279109961246,10.499281,,,,10,,,,,,,0,0,0,4.570683E7,4.358381E7,4.469897E7,
821,168.01607192002172,10.4940405,,,,10,,,,,,,0,0,0,2426957.2,2303669.5,2340229.5,
636,168.9861334024021,8.957692,,,,44,,,,,,,677989.75,858158.1,879066.7,0,0,0,
743,169.97724299348775,10.328528,,,,49,,,,,,,0,0,0,2523196.0,2090951.4,2717459.5,
835,169.9773038008394,10.813591,,,,,,,,,,,0,0,0,4723972.0,1639406.1,1162215.4,
838,171.99293445464994,10.990345,,,,,,,,,,,0,0,0,5685771.0,5334411.0,5775479.0,
43,172.0978286720364,3.0332024,,,,,,,,,,,547785.9,414431.97,599129.06,0,0,0,
46,172.1332863110197,3.1901295,,,,33,,,,,,,0,0,0,1000862.06,1050209.2,1013033.6,
739,172.95630883965146,10.326571,,,,49,,,,,,,0,0,0,7586959.5,7769538.0,7882801.0,
19,172.9771650860481,0.39007828,,,,,,,,,,,0,0,0,1540978.1,1454416.0,1527799.4,
740,174.9532930730195,10.326571,,,,49,,,,,,,0,0,0,1189366.0,1219012.0,1864198.0,
800,174.9563344581032,10.41906,,,,49,,,,,,,1.5223771E7,1.4854382E7,1.5113088E7,2453941.5,2511086.8,2466169.5,
4,176.98454022260955,0.034979135,,,,0,,,,,,,0,0,0,1022336.06,1047339.4,1035003.7,
9,176.98454962692904,0.31965515,,,,4,,,,,,,0,0,0,933284.5,913744.7,407455.72,
421,180.97275940561067,7.8691125,,,,7,,,,,,,492055.03,578583.94,580775.5,0,0,0,
380,180.97276956048844,7.7682004,,,,52,,,,,,,422105.97,403646.78,473920.53,0,0,0,
721,180.97278209727497,10.232728,,,,9,,,,,,,1755816.5,1775447.9,1784874.8,0,0,0,
283,180.9728533488001,7.3682113,,,,3,,,,,,,573496.75,558097.9,594722.8,0,0,0,
770,181.01436325547766,10.369756,,,,49,,,,,,,0,0,0,5250397.0,4991951.5,5315389.0,
741,182.9851056286819,10.328315,,,,49,,,,,,,0,0,0,1.9318986E7,1.8995584E7,1.9853678E7,
768,183.00977404215914,10.369751,,,,49,,,,,,,0,0,0,1992402.0,1869142.9,1988661.4,
617,183.934078041361,8.933219,,,,29,,,,,,,3.1127464E7,1.907534E7,1.9502766E7,0,0,0,
833,184.002908729641,10.555592,,,,10,,,,,,,0,0,0,6825015.0,6884058.5,6564892.0,
769,184.98545751132562,10.369751,,,,49,,,,,,,0,0,0,8208764.0,8216978.5,8527034.0,
767,186.98088741042093,10.36975,,,,49,,,,,,,0,0,0,3197577.0,3141608.2,3281207.2,
17,186.98101435825677,0.32146966,,,,,,,,,,,0,0,0,146788.0,177004.67,190878.4,
10,190.928289262251,0.3201175,,,,,,,,,,,1134082.6,1091883.5,1126397.9,0,0,0,
801,190.92829440793662,10.421899,,,,55,,,,,,,1030943.0,914666.75,1096064.6,0,0,0,
832,191.94613435810382,10.54795,,,,,,,,,,,2731239.2,2739974.5,2701327.0,0,0,0,
757,192.92859074115663,10.343263,,,,,,,,,,,1064134.9,1054595.0,1047137.06,0,0,0,
317,192.92859640563685,7.5475006,,,,,,,,,,,16761.133,371135.62,149551.94,0,0,0,
333,192.9286108114712,7.610464,,,,,,,,,,,370662.75,194776.02,195966.19,0,0,0,
260,192.92862035025266,7.3096213,,,,,,,,,,,311784.62,266916.7,286216.28,0,0,0,
47,194.11530587325248,3.1901295,,,,33,,,,,,,0,0,0,5608868.5,5550690.0,5752086.5,
430,194.90555844401743,7.8708496,,,,7,,,,,,,781841.4,1244815.4,1320366.1,0,0,0,
367,194.90556090408623,7.7664566,,,,53,,,,,,,470586.06,560176.44,544095.44,0,0,0,
276,194.90563139219964,7.366465,,,,3,,,,,,,390445.78,384801.0,524093.28,0,0,0,
137,195.10164424140734,5.6147423,,,,36,,,,,,,0,0,0,753661.0,763165.75,792258.3,
553,195.81069325788349,8.494658,,,,40,,,,,,,2485353.8,2478636.0,2547492.8,0,0,0,
816,195.81076227420525,10.486332,,,,35,,,,,,,379531.97,362002.16,361002.6,0,0,0,
754,196.01669460133292,10.33548,,,,49,,,,,,,0,0,0,1538541.5,1588109.5,1608647.9,
554,197.8077656779636,8.494658,,,,40,,,,,,,3243566.8,3182364.0,3119296.2,0,0,0,
810,197.80780976880442,10.484556,,,,35,,,,,,,486252.47,467029.8,464010.3,0,0,0,
552,199.80482198227682,8.491178,,,,40,,,,,,,1395399.1,1431720.4,1440305.4,0,0,0,
817,199.80485777302735,10.486332,,,,35,,,,,,,216417.0,202984.31,201518.39,0,0,0,
613,199.92902503326437,8.927795,,,,29,,,,,,,2349995.0,2490263.5,2520315.8,0,0,0,
536,199.9291447195301,8.349016,,,,,,,,,,,459005.34,501709.78,546842.06,0,0,0,
669,200.85863079907713,9.054337,,,,,,,,,,,525079.75,670074.8,524782.56,0,0,0,
595,200.85863820884413,8.866143,,,,29,,,,,,,2629994.5,2738349.2,2547804.8,0,0,0,
55,201.05962880800863,3.6546624,,,,,,,,,,,0,0,0,150574.69,183206.77,383144.03,
827,201.9756361012609,10.522572,,,,10,,,,,,,0,0,0,910274.3,894870.0,944537.5,
584,201.97567951600092,8.7248,,,,,,,,,,,0,0,0,1094939.9,1050704.6,1111101.2,
18,202.18023437985718,0.38639775,,,,,,,,,,,0,0,0,965623.06,828940.25,840620.8,
24,202.18024112306998,0.7063114,,,,,,,,,,,0,0,0,221008.98,183787.23,170202.81,
120,203.06203052001558,5.280399,,,,,,,,,,,0,0,0,289328.8,368459.94,399944.6,
72,203.06207471263846,3.9052315,,,,,,,,,,,0,0,0,175056.88,159196.42,221874.0,
738,205.0170545757708,10.323266,,,,49,,,,,,,0,0,0,6269994.5,6009908.0,6322871.5,
811,205.83954483603307,10.484556,,,,35,,,,,,,1342592.4,1284832.4,1275057.6,0,0,0,
760,207.0174361777268,10.362767,,,,49,,,,,,,0,0,0,5852630.0,5736909.5,5721414.5,
812,207.83656820339047,10.484556,,,,35,,,,,,,1264032.1,1214707.0,1206799.9,0,0,0,
815,208.03925482574527,10.485463,,,,10,,,,,,,0,0,0,2890163.0,2781455.0,2846321.0,
761,209.01285151800357,10.362767,,,,49,,,,,,,0,0,0,2227056.2,2168588.8,2182367.2,
148,211.07540240691048,5.67697,,,,5,,,,,,,0,0,0,1541299.8,1131671.8,1620104.2,
95,211.97068427871758,4.687585,,,,21,,,,,,,0,0,0,4098365.8,3885960.8,4073209.0,
737,213.9827467290967,10.323082,,,,49,,,,,,,0,0,0,3004029.2,2954334.5,2121385.2,
565,213.9828925733914,8.583336,,,,,,,,,,,0,0,0,1185502.4,1994470.4,997182.8,
417,213.9829245018706,7.873421,,,,,,,,,,,0,0,0,1027605.4,1919399.9,1473685.1,
786,215.9837084943381,10.376728,,,,49,,,,,,,0,0,0,1538013.6,1490980.4,1537714.2,
419,216.8534213136501,7.869097,,,,,,,,,,,183996.31,449976.34,528673.94,0,0,0,
712,216.92269153934384,10.203182,,,,16,,,,,,,0,0,0,2452230.2,3525483.2,1746166.8,
177,217.04217899191266,6.0999093,,,,,,,,,,,587281.56,1035965.2,564115.6,0,0,0,
51,217.04218375717525,3.5239508,,,,,,,,,,,807232.5,978762.5,655861.2,0,0,0,
31,217.10472265837234,2.2417054,,,,,,,,,,,0,0,0,1119584.6,873157.44,874888.25,
38,217.10711657549123,2.7953131,,,,,,,,,,,0,0,0,251867.11,302399.5,562677.25,
56,217.1071308941927,3.6564722,,,,,,,,,,,0,0,0,96024.46,123977.27,165238.33,
63,217.10721273558502,3.8454866,,,,,,,,,,,0,0,0,56348.49,77007.41,150358.2,
571,218.98586075366072,8.6506,,,,26,,,,,,,2924676.0,2906834.0,2951476.0,0,0,0,
188,219.05700879860242,6.105232,,,,19,,,,,,,0,0,0,1139331.4,647338.25,737153.9,
50,219.05706279792415,3.5234516,,,,,,,,,,,0,0,0,704063.7,472468.16,571939.8,
210,220.11215041661774,6.3073406,,,,58,,,,,,,0,0,0,1579625.2,1028722.6,1622712.4,
394,221.17510545569192,7.7733307,,,,54,,,,,,,0,0,0,323904.6,611463.44,499227.66,
74,222.14644680556896,4.052981,,,,,,,,,,,0,0,0,555364.0,555436.4,540602.9,
735,223.98820929510302,10.313156,,,,49,,,,,,,0,0,0,4126823.8,4378309.0,4118898.0,
831,225.0293618553117,10.545257,,,,10,,,,,,,0,0,0,2297900.0,2080563.0,2227100.2,
143,225.09101887918735,5.675162,,,,5,,,,,,,0,0,0,2506728.2,1899133.2,2575933.2,
79,226.1801232543065,4.3745365,,,,32,,,,,,,0,0,0,117282.11,138396.81,127039.375,
346,226.1801519495108,7.696942,,,,64,,,,,,,0,0,0,582207.6,1075306.4,849377.25,
395,226.18015990412798,7.7733307,,,,54,,,,,,,0,0,0,477243.1,875251.06,677584.6,
728,226.95139997858305,10.233948,,,,14,,,,,,,0,0,0,3827481.2,7775669.0,3718035.5,
690,226.95143402781298,9.937848,,,,,,,,,,,0,0,0,2297287.8,1343061.5,2240422.0,
91,227.96649617630388,4.6832905,,,,6,,,,,,,2120519.0,2091248.1,2024523.5,0,0,0,
396,228.19584833007806,7.7733307,,,,54,,,,,,,0,0,0,617810.2,1119824.1,886804.6,
106,228.19589444550067,4.81681,,,,59,,,,,,,0,0,0,135601.77,216914.27,210690.34,
596,229.90069337737336,8.876594,,,,29,,,,,,,7341488.5,9512725.0,9012728.0,0,0,0,
92,229.96425465884587,4.6832905,,,,6,,,,,,,2071328.5,2041240.9,1958647.8,0,0,0,
97,229.9812724527679,4.687585,,,,21,,,,,,,0,0,0,9201769.0,8713632.0,9118387.0,
100,230.98449513857088,4.687585,,,,,,,,,,,0,0,0,755746.25,722326.3,758790.56,
98,231.97908862055695,4.687585,,,,21,,,,,,,0,0,0,9007000.0,8553489.0,8944106.0,
99,232.98231905896486,4.687585,,,,21,,,,,,,0,0,0,762901.06,706129.5,750166.3,
76,233.0725841733212,4.361886,,,,,,,,,,,0,0,0,316282.84,430908.72,681919.6,
52,233.07260638344323,3.5542364,,,,,,,,,,,0,0,0,61915.23,111962.734,174515.22,
37,233.10278615156673,2.7981966,,,,,,,,,,,381396.44,275902.7,437178.56,0,0,0,
186,235.0712027471511,6.103478,,,,19,,,,,,,0,0,0,755374.6,478825.16,515278.03,
87,236.0805290459165,4.5446835,,,,51,,,,,,,0,0,0,2062183.1,2251770.5,3239293.5,
81,236.1620438374823,4.446989,,,,,,,,,,,0,0,0,66461.484,82167.91,77752.49,
399,236.16205193617088,7.775116,,,,,,,,,,,0,0,0,325925.53,597995.0,469060.94,
564,236.97896323377952,8.605147,,,,,,,,,,,1869427.9,1917806.0,1032772.06,0,0,0,
238,237.221258779756,6.9768314,,,,60,,,,,,,0,0,0,143574.7,64129.83,192841.34,
293,237.2212924967455,7.3731594,,,,27,,,,,,,0,0,0,1070492.8,859413.0,1270616.2,
49,239.08896620915345,3.3526402,,,,,,,,,,,0,0,0,621064.56,585025.5,785703.9,
804,242.9432758320371,10.457866,,,,49,,,,,,,2063011.8,2010204.8,2140444.5,0,0,0,
558,243.89903774152512,8.559653,,,,22,,,,,,,1.4741274E7,1.5644289E7,1.6066138E7,0,0,0,
89,244.06669896737822,4.548229,,,,,,,,,,,0,0,0,343792.88,392515.88,535368.5,
183,244.0765672812528,6.101717,,,,19,,,,,,,0,0,0,913132.8,497848.2,605505.1,
