row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_CC_2_Run48.mzML Peak area,2024_NEG_CC-VPA_1_Run27.mzML Peak area,2024_NEG_CC-VPA_2_Run36.mzML Peak area,2024_NEG_CC_3_Run62.mzML Peak area,2024_NEG_CC_1_Run21.mzML Peak area,2024_NEG_CC-VPA_3_Run77.mzML Peak area,
503,89.02441390495584,9.99644,,,,,,,,,,,868413.6,990871.8,822329.7,1156765.0,916433.9,804950.9,
33,89.02441841975924,0.42597568,,,,,,,,,,,558240.75,1131829.5,525668.4,3184018.0,648494.4,557250.3,
558,96.96012597248217,10.619962,,,,,,,,,,,1250562.0,1374132.0,2451687.2,2508854.2,8978525.0,2446065.2,
463,100.93364648682575,8.92962,,,,,,,,,,,219470.23,229063.38,828886.2,530048.6,208869.45,727230.56,
419,100.93364962707545,8.480194,,,,,,,,,,,625953.1,462807.25,241238.22,694925.1,599070.4,177316.55,
410,100.93365087188505,8.360747,,,,,,,,,,,822099.0,325177.3,269908.88,264724.84,840325.1,291275.12,
511,100.93365171745207,10.204547,,,,,,,,,,,857878.56,1317041.4,1421097.0,1153091.4,1177540.8,959527.1,
326,100.9336523778377,7.9316487,,,,,,,,,,,1618283.8,1007832.44,1683288.4,1891711.1,1346549.8,724447.0,
310,100.93365310217867,7.865603,,,,,,,,,,,769004.25,828571.44,395754.72,2152338.0,661730.56,1648398.4,
375,100.9336537039972,8.292043,,,,,,,,,,,1220602.0,1486438.5,857580.25,1675860.0,1122458.5,613773.25,
370,100.93365340013918,8.22706,,,,,,,,,,,895883.75,748921.5,1727143.4,923889.06,1755621.1,613773.25,
368,100.93365516040429,8.120925,,,,,,,,,,,732135.44,682318.2,591212.1,1198430.5,759258.7,1428275.8,
506,112.98567587625813,10.141412,,,,,,,,,,,1020180.7,817518.2,609486.0,590013.9,709261.4,564074.25,
522,112.98568088160243,10.274552,,,,8,,,,,,,2167654.2,2214043.8,2831912.2,2916501.5,2314974.2,2711665.5,
13,112.98568222792301,0.33754542,,,,7,,,,,,,3591475.2,3758976.5,3718127.2,3492552.5,3645057.2,3440143.0,
467,115.92074915445728,8.924968,,,,,,,,,,,2873669.8,3373626.2,1463852.8,1032670.6,791375.9,2315851.5,
512,115.92075377330634,10.207426,,,,1,,,,,,,3960577.8,3617572.0,3107922.2,3447992.5,3631693.0,2044725.0,
390,115.92075931455155,8.286006,,,,22,,,,,,,1.1631265E7,1.2016693E7,1.2015256E7,1.0189245E7,1.5939919E7,1.0770345E7,
299,115.92076035077667,7.685804,,,,,,,,,,,868638.5,787614.6,1005673.44,2500541.5,1454585.4,1876759.4,
319,115.92076325472426,7.8441215,,,,24,,,,,,,3592083.5,3784991.0,3903112.2,5494121.0,5156863.0,4921309.5,
346,115.9207636275895,7.947609,,,,25,,,,,,,4280714.5,4784935.5,6560940.5,5161455.5,5215941.5,5359914.5,
313,116.9285674914197,7.8388476,,,,24,1,[M-H+2Na]+,,2,318;313,71.95775,2341646.5,1987178.8,1716397.4,2326403.0,2649981.5,2736717.5,
534,116.92856856266913,10.36217,,,,,,,,,,,1446841.0,1526081.8,1396472.8,1409579.6,1521580.0,987777.56,
340,116.92857092565158,7.9437885,,,,25,2,[M-H+2Na]+,,2,345;340,71.95775,2585052.2,2023159.5,2399779.0,2324421.2,2662877.2,3324023.8,
250,116.92857441611984,7.297901,,,,46,,,,,,,829822.5,641660.1,322768.66,425759.62,631202.44,734715.25,
294,116.92857748488332,7.682384,,,,18,,,,,,,2529460.8,2349295.2,2801638.5,2993136.2,3511324.0,3101158.2,
36,117.01935523168261,0.65111375,,,,34,,,,,,,661157.56,2247693.2,2127731.8,2601133.2,3566065.5,3199790.5,
34,119.0171350231866,0.5852278,,,,,,,,,,,1181549.6,1158610.2,1163568.9,1165489.1,1138258.4,1131267.1,
35,121.0327627522584,0.6494362,,,,34,,,,,,,1982424.4,1901842.0,1919712.8,1873149.6,1837446.2,1881888.8,
249,122.97577424879019,7.2943535,,,,,,,,,,,61945.95,84115.82,116997.75,71934.92,72485.89,84562.08,
292,122.97577639739193,7.6810126,,,,,,,,,,,86957.734,103127.27,135368.66,93194.33,129808.84,96292.75,
473,122.9757776711446,8.999753,,,,,,,,,,,360871.94,463760.34,303296.2,360409.03,470112.53,353130.53,
336,122.97577870001142,7.9446354,,,,,,,,,,,188347.1,191375.86,266759.56,236951.31,259761.42,282691.06,
316,122.97577983859016,7.838697,,,,,,,,,,,130429.98,127569.375,189688.38,159934.86,190800.8,203329.02,
388,122.97578527304002,8.286261,,,,,,,,,,,171340.14,191080.22,259621.05,199805.2,277312.34,295354.88,
6,129.97579921343544,0.3253164,,,,,,,,,,,418140.88,333400.62,446559.1,360257.44,446571.34,297434.22,
171,132.8678613198144,6.681267,,,,,,,,,,,175353.36,432237.97,1420139.9,413315.47,348352.56,115633.6,
514,132.8678657546089,10.208907,,,,44,,,,,,,151837.06,168208.44,157000.28,147972.39,170056.88,146611.12,
539,132.86787180184334,10.467886,,,,,,,,,,,616797.6,788135.0,730307.5,668216.25,690288.9,771140.5,
256,134.89466418368326,7.307921,,,,,,,,,,,489083.0,552781.94,318949.56,694814.2,993838.3,1080423.6,
300,134.8946773206101,7.6923943,,,,18,,,,,,,2294143.8,2232594.5,2031596.9,2298602.8,2403186.8,2330999.8,
281,134.89467804427514,7.5602384,,,,13,,,,,,,2061461.2,2032400.0,1969600.0,1914831.9,2355043.2,2154318.8,
406,134.894680443623,8.380714,,,,21,,,,,,,1840936.1,1456787.8,1151016.0,2364712.2,1913497.9,1593514.1,
395,134.89468194480784,8.304294,,,,22,,,,,,,3577977.2,4382863.5,3989855.2,5017768.0,5096363.0,4119203.8,
323,134.89468222721618,7.859558,,,,24,,,,,,,1313725.6,1523772.4,1344362.2,1422707.4,1313767.5,1324460.2,
350,134.89468304688282,7.965425,,,,25,,,,,,,2377956.5,2452708.5,2256255.5,2567694.0,2651161.5,2473069.5,
360,134.89468463235661,8.05968,,,,35,,,,,,,1925549.8,1408464.9,1404354.0,1645648.4,1968338.2,2405040.8,
19,139.03242040889006,0.37326705,,,,32,,,,,,,2217412.5,2311617.0,2315832.5,2176526.2,2269139.2,2060553.8,
515,144.92346669484076,10.207046,,,,1,,,,,,,1938347.0,2095130.0,1834857.5,1990688.0,1824707.4,1563340.9,
318,144.92347309206414,7.844072,,,,24,1,[2M+H]+,,2,318;313,71.95775,2571170.5,2032440.2,1939088.8,2811093.0,3223718.5,3144959.8,
345,144.92347318750768,7.946712,,,,25,2,[2M+H]+,,2,345;340,71.95775,2621249.8,2498886.2,2367924.2,3623765.0,3009317.8,2706275.2,
389,144.92347357476487,8.285068,,,,22,,,,,,,7705497.0,8058794.0,6779107.0,7372342.0,8339973.0,8279741.0,
540,160.84198339718134,10.47266,,,,5,,,,,,,257094.9,327128.22,299472.0,296139.72,307263.28,301923.9,
302,161.91356939200213,7.702879,,,,18,,,,,,,414419.94,387027.62,331353.38,730192.1,413790.38,399110.0,
280,161.9135696689673,7.551542,,,,13,,,,,,,455602.4,393974.44,162741.16,358223.8,571088.25,307033.97,
252,161.91357042137125,7.302128,,,,,,,,,,,355853.28,251701.9,200753.34,323736.1,224222.55,498654.12,
408,161.91357228206627,8.407645,,,,21,,,,,,,1064480.1,807106.56,461156.78,1150611.6,902665.4,853985.94,
309,161.91357414178665,7.8240128,,,,24,,,,,,,313101.78,291315.25,175249.67,322473.06,363944.34,318352.75,
397,161.91357590136644,8.309218,,,,22,,,,,,,905500.25,1185392.0,522083.1,1320749.2,1030833.75,837898.5,
354,161.9135776485759,7.970452,,,,25,,,,,,,360505.9,365248.8,185492.14,429453.44,431427.06,353891.03,
