row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C1-b_Run95.mzML Peak area,NEG_D5-211-C1-a_Run92.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,NEG_D5-211-C1-c_Run98.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,
443,84.99052137007558,8.968862,,,,4,10,[M-H2O+H]+,,2,441;443,101.9942,1042132.6,1093930.5,1376717.2,1445879.6,1160680.8,1367834.0,
45,85.02932706711472,0.38610575,,,,27,2,[M+H]+,,2,53;45,84.02145,696526.9,694268.5,789013.9,737629.56,777032.9,837560.75,
74,85.02934563400729,0.58279806,,,,20,,,,,,,438353.9,388221.06,615630.0,467717.88,446445.72,510947.5,
68,89.02428157377761,0.42693636,,,,,,,,,,,91953.01,137439.6,390513.44,81900.39,60639.727,212671.12,
545,96.96006656012884,11.095757,,,,,,,,,,,753794.0,680959.5,900127.4,841201.5,1529284.0,802435.6,
16,96.96010709223911,0.3515601,,,,27,,,,,,,5.4164196E7,5.4218532E7,1.1072339E8,9.256983E7,5.6784064E7,8.390231E7,
26,96.9693704301618,0.35842323,,,,27,,,,,,,1.6914374E7,1.5577584E7,1.7415444E7,1.4136222E7,1.739429E7,1.4160202E7,
14,98.95579487603334,0.35068998,,,,27,,,,,,,2368054.0,2360369.0,4852921.0,4049379.0,2499227.5,3691021.8,
395,99.92577296053581,8.794561,,,,38,,,,,,,6.77567E7,6.7812536E7,5.0850188E7,5.5844468E7,6.4358404E7,5.2549636E7,
405,100.93359430028407,8.8102255,,,,38,,,,,,,5.2222896E7,5.1092548E7,5.937885E7,6.454678E7,5.3974876E7,6.021454E7,
368,101.98084233417283,8.705764,,,,,,,,,,,2985114.2,2676716.0,1583594.0,1240997.6,1783048.1,1760368.4,
425,101.98084870335838,8.950546,,,,4,,,,,,,3399217.5,3401159.5,6359520.0,6077206.0,6665854.0,6455545.0,
478,101.9808756303202,9.615481,,,,,,,,,,,802831.44,1216801.1,983435.06,549618.44,1085381.0,1028860.4,
475,101.98088075788881,9.39785,,,,,,,,,,,843027.0,1071391.0,1149702.5,920455.0,1026555.75,1101888.2,
495,101.9808833462672,10.019427,,,,35,,,,,,,901356.75,1782145.2,924293.7,797763.75,1023681.3,863306.3,
432,102.9568022097569,8.963639,,,,4,,,,,,,1643011.6,1772023.1,1706891.0,1540077.9,1758259.8,1626869.9,
504,102.95682957122902,10.177711,,,,,,,,,,,788564.2,891296.6,689183.7,720023.6,836736.9,667270.6,
55,111.00873755600996,0.3930268,,,,27,,,,,,,4964981.0,5158148.5,5371768.0,5621319.0,5459185.5,5787456.5,
52,111.01992706303334,0.389622,,,,27,,,,,,,1589687.5,1553428.8,9554880.0,2995131.0,1618753.4,3384848.2,
278,112.98564141935331,7.872639,,,,,,,,,,,6111069.0,6322237.5,9583707.0,9266560.0,6473434.5,1.0080119E7,
442,112.98567380728154,8.967128,,,,4,,,,,,,6212821.0,8025912.0,8252140.0,6577795.0,5535635.5,7137746.5,
505,112.98567583340757,10.187584,,,,,,,,,,,1.2920884E7,9727664.0,1.4138198E7,1.4949405E7,1.297986E7,1.3456978E7,
406,113.92626080807251,8.812118,,,,38,9,[M+K]+,,2,406;394,74.96322,2.2601058E7,1.9152706E7,2.1385308E7,5741393.5,2.3584132E7,2.0030294E7,
416,113.9262620055556,8.847193,,,,,,,,,,,5845054.5,5675939.0,5370789.5,2.1425272E7,5950500.5,5492794.0,
188,114.93407668771128,7.37081,,,,19,3,[M+K]+,,2,189;188,75.97104,673426.56,643299.8,1005206.0,775412.94,869267.7,878201.0,
260,114.93407953589455,7.873516,,,,2,6,[M+K]+,,2,261;260,75.97103,1404507.5,1350469.9,3573632.0,3923872.0,1790388.1,3835831.5,
221,114.93408488642153,7.769062,,,,24,4,[M+K]+,,2,224;221,75.97104,734399.1,996722.4,1532052.8,1382408.0,864624.75,1456305.0,
398,114.93408987483092,8.793688,,,,,,,,,,,8602552.0,8532000.0,1932889.2,1954198.2,8705632.0,1944748.9,
320,114.934093839547,8.216939,,,,25,7,[M+K]+,,2,319;320,75.97104,1059136.1,1102042.2,3114751.5,2310395.2,1106990.0,2593703.2,
62,115.00362754564078,0.3896588,,,,27,,,,,,,1173696.9,728036.75,129413.3,143713.95,1149106.6,197106.02,
402,115.92071561757155,8.802384,,,,38,,,,,,,4.3825453E8,4.2445974E8,4.0799696E8,4.09033E8,4.4655427E8,3.8076778E8,
63,116.07165710402619,0.4221388,,,,,,,,,,,1084540.0,812423.6,270608.5,57435.746,101844.086,149619.14,
389,116.92839399393729,8.778079,,,,38,8,[M-H2O+H]+,,2,399;389,133.93206,1.6860008E8,1.680873E8,3.7449896E7,3.7380396E7,1.6911638E8,3.7114308E7,
319,116.928435206299,8.216077,,,,25,7,[2M-2H2O+H]+,,2,320;319,75.97104,2.7343696E7,2.1399288E7,5.915445E7,5.1445924E7,2.1812156E7,5.5147E7,
261,116.9284404027918,7.873516,,,,2,6,[2M-2H2O+H]+,,2,261;260,75.97103,2.7218186E7,2.4782324E7,6.942633E7,7.039336E7,3.4090396E7,7.163831E7,
224,116.92844547129145,7.768163,,,,24,4,[2M-2H2O+H]+,,2,224;221,75.97104,1.3161622E7,1.9044452E7,2.9336672E7,2.6316296E7,1.5825622E7,2.7924852E7,
189,116.92847396446898,7.3708053,,,,19,3,[2M-2H2O+H]+,,2,189;188,75.97104,1.2964754E7,1.2335856E7,1.9481938E7,1.5537813E7,1.678217E7,1.7655614E7,
88,117.01934208283262,0.83992624,,,,,,,,,,,116331.97,28837.254,96245.99,131188.97,116696.99,64529.91,
81,117.01935239966362,0.66863036,,,,,,,,,,,1.0030757E7,6705489.5,9064650.0,6961450.5,6439538.0,5903218.5,
94,117.05571696509901,2.1479554,,,,,,,,,,,107821.266,89924.06,639036.44,277106.16,186857.55,316710.8,
255,117.92854940063948,7.8726497,,,,2,,,,,,,3093137.0,2982033.2,8070851.5,8231066.0,3938776.8,8418889.0,
225,117.92855417802912,7.768163,,,,24,,,,,,,1589977.9,2211370.5,3403749.5,3033445.2,1825624.6,3214081.8,
314,117.92855796291265,8.216941,,,,25,,,,,,,3174397.0,2434335.2,6796124.0,5943876.0,2483538.8,6202175.0,
195,117.92858006655412,7.372574,,,,19,,,,,,,1490986.9,1431055.6,2226538.5,1816391.6,1921418.4,2054288.6,
35,118.05092107260094,0.37924924,,,,,,,,,,,743973.5,63986.83,479642.38,168292.16,126910.5,148481.83,
257,118.92406326225468,7.8752866,,,,2,,,,,,,419271.62,311768.16,2141550.0,2130508.5,720009.94,2213051.0,
521,118.92408977462253,10.337005,,,,,,,,,,,516742.6,508291.2,509275.03,497319.1,518156.56,491727.12,
322,118.92411512525467,8.216948,,,,25,,,,,,,153653.16,239503.45,427842.16,434264.53,139925.92,313547.16,
253,118.92671459439471,7.8717766,,,,2,,,,,,,749758.75,731448.1,2056716.4,2111296.0,980957.8,1943342.5,
390,118.92671692561548,8.787668,,,,38,,,,,,,4629445.5,4343862.0,1050799.0,2937265.2,4403105.5,1043105.7,
223,118.92672112463276,7.784189,,,,24,,,,,,,566008.5,747699.4,885906.5,753985.0,480710.6,812860.3,
312,118.92673510339226,8.215201,,,,25,,,,,,,562855.06,614600.6,1234394.6,1420843.9,611009.4,1605568.9,
266,118.93254309448058,7.87264,,,,2,,,,,,,202428.52,300716.5,687664.0,595614.8,281162.88,687782.7,
317,118.93258336662804,8.216067,,,,25,,,,,,,147660.12,85607.34,373840.5,479180.34,200515.48,380247.06,
384,118.93259588860582,8.753649,,,,,,,,,,,138839.53,137179.69,157598.86,61277.395,90785.945,509133.06,
426,119.94682613009711,8.955787,,,,4,,,,,,,980402.8,921925.6,1252390.4,661845.44,987647.25,730150.94,
370,119.94682865031263,8.6979265,,,,,,,,,,,4196181.5,4077091.0,3395151.0,963423.3,4298880.5,906331.25,
434,124.00151099424068,8.964514,,,,4,,,,,,,936822.6,1000134.56,1028044.1,1190035.6,1063216.4,1041489.7,
464,124.00151963794814,9.156167,,,,,,,,,,,588382.7,613053.7,659761.94,689917.9,652786.0,727971.2,
484,124.00154381556202,9.616342,,,,,,,,,,,624662.1,513046.8,241626.12,341007.84,719923.94,546398.7,
474,124.00154559896885,9.395221,,,,,,,,,,,200994.12,452505.47,390528.22,255133.16,257926.4,467265.9,
496,124.00154955282187,10.028404,,,,35,,,,,,,593889.9,1762500.0,605635.56,549267.75,749204.25,512205.2,
369,124.99671882921383,8.711841,,,,,,,,,,,1138599.9,927183.3,526219.25,538096.8,525014.0,456084.8,
427,124.99673889092998,8.95492,,,,4,,,,,,,1274810.8,1317577.2,3007812.2,2820117.5,2495446.0,3140471.5,
525,126.88094738498216,10.425828,,,,37,,,,,,,1267755.2,1330498.0,484536.53,613246.6,1247304.2,541981.3,
67,128.03527998384592,0.4309949,,,,27,,,,,,,3042624.5,2109404.2,2324376.2,1377591.6,2261120.8,1277851.5,
79,128.0353197724112,0.6327309,,,,,,,,,,,1869897.8,1403262.6,2127092.2,1446407.1,1831521.9,1136661.1,
90,128.03536136951533,0.8999262,,,,,,,,,,,22936.926,14379.045,7519.921,3611.3145,38163.137,0,
49,129.01930455809318,0.3869731,,,,27,,,,,,,2156688.0,2089121.0,2347763.8,2090184.5,2153403.0,2227450.8,
75,129.01933202433543,0.58884066,,,,,,,,,,,1460054.4,1261469.6,1810817.9,1420821.4,1544144.0,1500173.8,
286,129.9756666303517,7.8795853,,,,,,,,,,,875436.9,1373376.1,822610.0,574515.4,1016364.75,556628.8,
219,129.97567216247367,7.7833047,,,,,,,,,,,618710.4,1014347.2,1163537.8,1301331.6,443683.75,1181383.2,
438,129.97567843998354,8.9671335,,,,4,11,[M-2H2O+2H]+2,,2,438;446,293.95812,2402134.8,2330854.5,4876680.0,4966447.0,4484976.5,4706763.0,
325,129.975682400499,8.21695,,,,,,,,,,,845334.8,861233.4,1624150.8,2522566.5,871687.9,2886986.2,
182,129.97568591447876,7.3760757,,,,19,,,,,,,1128755.0,1096064.5,1547980.1,1524657.2,1105908.0,1220047.8,
60,130.0872523971543,0.39479688,,,,27,,,,,,,870118.9,867551.4,531033.9,349266.2,864382.56,435388.75,
85,130.08730383795827,0.79814076,,,,,,,,,,,1527039.2,980414.5,1525440.1,1143263.1,559051.75,1159016.8,
111,130.08732654626579,3.0332375,,,,31,,,,,,,78605.77,54072.254,141443.4,64281.227,75707.27,59318.617,
109,131.07134847431192,2.9018507,,,,,,,,,,,712948.2,594301.0,1970840.2,745701.75,1024760.25,852093.2,
439,132.8677960334502,8.964503,,,,7,,,,,,,1003609.4,1857646.8,5503391.0,5101591.0,1895666.2,5439703.5,
362,132.86780202319707,8.609632,,,,8,,,,,,,4033467.2,3356399.2,1330145.0,1095597.6,3461952.8,862774.06,
503,132.86781910917725,10.1651,,,,,,,,,,,1047343.6,991909.56,632843.9,703421.9,1060033.0,989818.3,
530,132.86783406992558,10.423715,,,,37,,,,,,,5864045.0,5964722.5,4769448.5,5175647.0,5679713.0,4993884.5,
287,132.90012492370695,7.9133296,,,,,,,,,,,526069.3,440065.88,207096.33,248538.84,510113.34,195887.75,
306,132.90013567928344,8.224803,,,,25,,,,,,,1195238.8,1163779.2,554880.06,185368.62,1305265.6,584894.44,
417,132.9001407233969,8.93278,,,,,,,,,,,748148.9,683371.2,276682.56,354229.03,278377.94,92336.81,
379,132.90014184937846,8.728376,,,,5,,,,,,,2690189.5,2278517.5,659736.94,468333.97,2706912.5,659861.7,
394,132.9234011006387,8.791945,,,,38,9,[2M-H2O+H]+,,2,406;394,74.96322,1.8153306E7,1.7387604E7,1.5019782E7,1.7576664E7,1.994143E7,1.5432818E7,
47,133.01418201112048,0.38615087,,,,27,,,,,,,1.2850389E7,8591213.0,7728688.5,6184486.5,1.0810378E7,5471281.0,
433,134.86503230892265,8.959263,,,,7,,,,,,,585287.75,385927.62,3645039.8,3402182.8,1313881.6,2286220.5,
363,134.86503655267987,8.611332,,,,8,,,,,,,2509635.8,2015652.1,219137.81,659744.4,2262075.8,1378044.9,
501,134.86513645543812,10.166858,,,,21,,,,,,,739063.7,396554.5,471201.84,477500.56,737552.7,671993.56,
529,134.86546850035248,10.422832,,,,37,,,,,,,6060523.5,6167318.0,4781598.0,5224848.5,5913158.5,5058802.5,
418,134.89458905504884,8.920463,,,,,,,,,,,1.4542632E7,1.312399E7,9301686.0,9159188.0,1.4901844E7,9147141.0,
291,134.89459006257962,7.9106927,,,,29,,,,,,,1.0859781E7,8840266.0,8913711.0,6695883.0,9851804.0,9364370.0,
372,134.89459455121724,8.714454,,,,5,,,,,,,5.391142E7,4.100551E7,1.319978E7,3.5567868E7,5.4770108E7,1.3348032E7,
338,134.89459477387422,8.280978,,,,,,,,,,,1.1784553E7,1.1780427E7,6369324.0,1.1710992E7,7132846.0,1.2271997E7,
327,134.89459539229236,8.22392,,,,25,,,,,,,2.282842E7,2.2900268E7,1.0436432E7,1.139277E7,2.5080412E7,1.0811952E7,
373,135.9708740725205,8.701375,,,,22,,,,,,,1195625.4,961512.44,1577413.4,1608053.6,1136490.9,1865696.4,
429,135.9708769432502,8.959273,,,,4,,,,,,,1106058.9,855251.9,1895993.0,1715621.1,1176151.2,3004121.8,
528,136.8628783512386,10.421936,,,,37,,,,,,,1809073.0,1834341.4,1473447.9,1607167.6,1749537.0,1531360.4,
364,136.8630248884385,8.62165,,,,8,,,,,,,927513.6,876595.4,521354.3,332791.5,1057302.1,71675.54,
500,136.86304665298607,10.158252,,,,21,,,,,,,291797.88,148142.52,187364.83,190411.97,277376.3,264013.94,
309,137.8916913815486,8.226554,,,,25,,,,,,,822997.75,799792.75,368588.9,121016.375,894199.06,293881.5,
342,137.89169758062846,8.28712,,,,,,,,,,,369755.25,399148.84,182324.73,359632.47,251274.75,429940.56,
288,137.89170216237213,7.9102745,,,,,,,,,,,309002.75,303904.28,84160.98,196492.28,357232.66,80424.09,
