row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C3-a_Run275.mzML Peak area,NEG_D5-227-C3-b_Run278.mzML Peak area,NEG_D5-227-C3-c_Run281.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
713,80.94785059316084,10.182521000000001,,,,,,,,,,,0.0,0.0,0.0,930464.2,849612.6,815978.7,
381,80.94789550624331,7.77153,,,,7.0,,,,,,,0.0,0.0,0.0,608120.56,878339.6,868997.2,
420,80.94789805124314,7.871624499999999,,,,63.0,,,,,,,0.0,0.0,0.0,554205.44,766733.0,662708.0,
298,80.94791555914603,7.374944,,,,44.0,,,,,,,0.0,0.0,0.0,453578.38,605250.75,696817.56,
826,81.52050967563817,10.492288,,,,39.0,,,,,,,0.0,0.0,0.0,29259034.0,27274882.0,27966768.0,
23,84.9597860900152,0.43599412,,,,,,,,,,,0.0,0.0,0.0,4203904.0,2880147.2,10379863.0,
37,89.05977239449372,2.7459037,,,,,,,,,,,0.0,0.0,0.0,1227202.5,462431.1,361792.6,
755,89.50665340911766,10.333573,,,,15.0,,,,,,,0.0,0.0,0.0,11433834.0,11440640.0,12806039.0,
782,90.50668872766512,10.374984,,,,15.0,,,,,,,0.0,0.0,0.0,4638022.0,4709399.5,4725757.5,
831,90.52588585570723,10.506519,,,,39.0,,,,,,,0.0,0.0,0.0,41356480.0,40922364.0,37602390.0,
785,91.50438987445585,10.376733,,,,15.0,,,,,,,0.0,0.0,0.0,1763337.5,1792999.4,1804893.0,
807,94.04510039170088,10.450604,,,,,,,,,,,0.0,0.0,0.0,4939875.0,4974401.0,4732135.5,
22,96.95999906672401,0.44238746,,,,,,,,,,,2730645.5,593851.44,550365.0,0.0,0.0,0.0,
845,96.96000855865309,11.180216999999999,,,,,,,,,,,1313777.2,555228.2,547101.25,0.0,0.0,0.0,
754,97.51440243356647,10.333434,,,,15.0,,,,,,,0.0,0.0,0.0,1388868.0,1307722.9,1278102.9,
834,97.99136005878262,10.527814,,,,39.0,,,,,,,0.0,0.0,0.0,9013835.0,9588389.0,9387882.0,
750,98.51203785799707,10.331832,,,,15.0,,,,,,,0.0,0.0,0.0,22551964.0,23580524.0,22928398.0,
614,99.92572347493818,8.928811,,,,20.0,,,,,,,73315600.0,61540852.0,70251780.0,0.0,0.0,0.0,
694,101.98079940879023,10.01578,,,,,,,,,,,475233.53,640810.25,558738.25,0.0,0.0,0.0,
636,101.98080604517418,8.963401,,,,4.0,,,,,,,3510650.0,3480535.8,3535326.0,0.0,0.0,0.0,
578,101.98081365123113,8.708159,,,,,,,,,,,1423064.0,1336264.4,1453833.0,0.0,0.0,0.0,
813,102.03386413707943,10.483439,,,,39.0,,,,,,,0.0,0.0,0.0,138539550.0,140281650.0,145151520.0,
814,102.53543267308315,10.485185000000001,,,,39.0,,,,,,,0.0,0.0,0.0,11980027.0,12205041.0,12592613.0,
714,102.95674189322186,10.187667,,,,,,,,,,,1371894.4,1355158.9,910938.5,0.0,0.0,0.0,
652,102.95674348982536,8.968635,,,,4.0,,,,,,,757799.3,723043.0,530373.8,0.0,0.0,0.0,
825,104.03021741467592,10.491947999999999,,,,39.0,,,,,,,0.0,0.0,0.0,3202513.0,3615046.0,3703096.5,
144,105.03351278378551,5.675162,,,,23.0,,,,,,,0.0,0.0,0.0,1846915.0,2467678.5,2597630.5,
760,109.0224472182475,10.338952,,,,15.0,,,,,,,0.0,0.0,0.0,5669208.0,7381046.5,5644671.0,
801,109.52167766410908,10.41111,,,,15.0,,,,,,,0.0,0.0,0.0,4941068.0,5096003.0,5259094.5,
751,110.02006318968084,10.331832,,,,15.0,,,,,,,0.0,0.0,0.0,89302420.0,90465080.0,91335480.0,
757,110.52174245747969,10.33548,,,,15.0,,,,,,,0.0,0.0,0.0,6615303.0,6168187.0,7821718.5,
786,111.0201782482355,10.376733,,,,15.0,,,,,,,0.0,0.0,0.0,79155110.0,79394250.0,80734264.0,
836,111.03900516687044,10.534823,,,,39.0,,,,,,,0.0,0.0,0.0,10615713.0,12155978.0,11574239.0,
779,111.51890979475269,10.373242,,,,15.0,,,,,,,0.0,0.0,0.0,1924844.1,2008572.1,2014142.6,
780,111.52175033211927,10.373242,,,,15.0,,,,,,,0.0,0.0,0.0,6691522.5,6787262.5,6880642.5,
787,112.0178092994415,10.376733,,,,15.0,,,,,,,0.0,0.0,0.0,30950596.0,31093494.0,31442178.0,
788,112.51954674807035,10.376733,,,,15.0,,,,,,,0.0,0.0,0.0,2166385.2,2206800.8,2212751.0,
718,112.98559713416643,10.205386,,,,32.0,,,,,,,15284342.0,15156495.0,15223433.0,0.0,0.0,0.0,
789,113.01656468116181,10.376733,,,,15.0,,,,,,,0.0,0.0,0.0,4360230.5,4348225.0,4455318.5,
633,113.92620694707372,8.959908,,,,20.0,,,,,,,19884262.0,18362422.0,19062348.0,0.0,0.0,0.0,
756,113.96356150237007,10.333573,,,,15.0,,,,,,,0.0,0.0,0.0,8225338.5,7057517.0,7176085.0,
5,113.96375415370755,0.036781892000000004,,,,0.0,,,,,,,0.0,0.0,0.0,2728314.8,2782697.0,2835497.2,
12,113.9637673008137,0.3232884,,,,3.0,,,,,,,0.0,0.0,0.0,1645683.8,2057201.1,2389126.8,
777,114.0164663177275,10.371555,,,,15.0,,,,,,,0.0,0.0,0.0,1043150.6,1105818.0,1113333.8,
613,114.93404212260228,8.928211,,,,20.0,,,,,,,7085716.5,6084235.5,7118471.0,0.0,0.0,0.0,
503,114.93405494134441,8.216733,,,,2.0,,,,,,,1764681.2,1377729.0,1352577.1,0.0,0.0,0.0,
366,114.93407706347999,7.768055400000001,,,,55.0,,,,,,,1061057.6,1104824.1,1236273.9,0.0,0.0,0.0,
423,114.93408105526063,7.872367999999999,,,,9.0,,,,,,,2141904.2,2291521.0,2722573.5,0.0,0.0,0.0,
620,115.92066223323108,8.943904,,,,20.0,,,,,,,397826240.0,377921660.0,362321100.0,0.0,0.0,0.0,
796,115.96396473687366,10.383458000000001,,,,15.0,,,,,,,0.0,0.0,0.0,2156360.2,2001137.5,2425267.5,
367,116.9284602380073,7.768055400000001,,,,55.0,,,,,,,20245166.0,21246870.0,23158174.0,0.0,0.0,0.0,
424,116.92846304749749,7.872367999999999,,,,9.0,,,,,,,41328052.0,48267340.0,53114864.0,0.0,0.0,0.0,
275,116.92847081471795,7.3702309999999995,,,,1.0,,,,,,,14106558.0,14618632.0,18374098.0,0.0,0.0,0.0,
14,116.97193839527107,0.32510504,,,,,,,,,,,0.0,0.0,0.0,593772.5,983248.2,930963.44,
24,117.0192334769468,0.68720704,,,,,,,,,,,1852963.5,2127042.5,1646385.0,0.0,0.0,0.0,
505,117.92852714914564,8.216733,,,,2.0,,,,,,,4105429.2,3161652.2,3161255.2,0.0,0.0,0.0,
368,117.92856534191357,7.768055400000001,,,,55.0,,,,,,,2342576.0,2434078.8,2669636.0,0.0,0.0,0.0,
425,117.92856697827769,7.872367999999999,,,,9.0,,,,,,,4761306.5,5853487.5,5788283.0,0.0,0.0,0.0,
276,117.92856942095273,7.3702309999999995,,,,1.0,,,,,,,1640616.4,1673198.9,2109137.5,0.0,0.0,0.0,
145,118.06509208309906,5.675162,,,,23.0,,,,,,,0.0,0.0,0.0,832281.06,1088992.5,1140044.9,
749,118.92400741809612,10.331346,,,,,,,,,,,464595.7,464961.06,467639.9,0.0,0.0,0.0,
433,118.92406618990357,7.874111,,,,9.0,,,,,,,1361931.2,1732439.8,1784384.8,0.0,0.0,0.0,
372,118.9240687509318,7.769789,,,,55.0,,,,,,,973733.2,1159891.0,1083968.9,0.0,0.0,0.0,
609,118.92666387074804,8.921401,,,,20.0,,,,,,,3809729.5,3867227.5,3938419.8,0.0,0.0,0.0,
502,118.92670010659691,8.216713,,,,2.0,,,,,,,1134526.8,806460.3,698295.06,0.0,0.0,0.0,
417,118.9267220815526,7.8706107,,,,9.0,,,,,,,1161486.8,1296727.0,1450141.5,0.0,0.0,0.0,
183,119.08557721730395,6.1017194,,,,57.0,,,,,,,0.0,0.0,0.0,1330526.4,2233152.8,1468033.6,
637,119.94679837021887,8.963401,,,,4.0,,,,,,,6106692.5,6698246.0,6177078.5,0.0,0.0,0.0,
41,120.044463510967,2.8335507,,,,41.0,,,,,,,0.0,0.0,0.0,2561646.0,2504766.0,2225040.0,
35,121.02937757573028,2.657478,,,,,,,,,,,619268.94,752210.94,745175.2,0.0,0.0,0.0,
804,123.90191250921677,10.414064999999999,,,,6.0,,,,,,,2083879.9,2186066.5,2113394.2,0.0,0.0,0.0,
638,124.99668006835873,8.963401,,,,4.0,,,,,,,1904272.1,2355742.2,1898843.6,0.0,0.0,0.0,
828,125.98618990855488,10.497533,,,,39.0,,,,,,,0.0,0.0,0.0,23375738.0,21710632.0,22511954.0,
797,126.88087162714871,10.396286,,,,6.0,,,,,,,982369.94,951243.2,942885.6,0.0,0.0,0.0,
21,128.95081370508464,0.4231714,,,,,,,,,,,0.0,0.0,0.0,2388062.0,2565770.5,2683212.5,
651,129.97561431485514,8.966888,,,,4.0,,,,,,,4051497.8,3717444.0,2920633.2,0.0,0.0,0.0,
264,129.9756797202308,7.36145,,,,,,,,,,,1189874.8,1441440.0,1478975.2,0.0,0.0,0.0,
802,130.52164045572985,10.41111,,,,15.0,,,,,,,0.0,0.0,0.0,2379528.2,2255533.8,2290723.8,
43,131.071207875679,2.9044735,,,,,,,,,,,895713.8,183582.05,566716.06,0.0,0.0,0.0,
781,131.53348820498582,10.373242,,,,15.0,,,,,,,0.0,0.0,0.0,6743107.5,6902001.0,7144073.5,
333,131.5335725676245,7.6078906,,,,,,,,,,,0.0,0.0,0.0,989279.8,2525547.2,2123222.5,
668,132.86772296006552,8.980807,,,,4.0,,,,,,,1503678.9,2751694.0,1574919.2,0.0,0.0,0.0,
800,132.86774809684366,10.410522,,,,6.0,,,,,,,5765623.5,5736467.5,5776736.5,0.0,0.0,0.0,
559,132.8677601652492,8.629303,,,,13.0,,,,,,,2847478.0,2441633.5,2543408.0,0.0,0.0,0.0,
519,132.9000977010995,8.220237,,,,2.0,,,,,,,534082.0,506718.7,571436.0,0.0,0.0,0.0,
618,132.90009946355877,8.942596,,,,20.0,,,,,,,3060072.0,3223673.2,3192707.8,0.0,0.0,0.0,
470,132.90012933367052,7.896236,,,,9.0,,,,,,,317009.97,301599.97,302989.28,0.0,0.0,0.0,
606,132.92333717570466,8.913979,,,,20.0,,,,,,,15650793.0,14800959.0,13853142.0,0.0,0.0,0.0,
660,134.86495053067793,8.972081,,,,4.0,,,,,,,958587.9,1053469.8,1075643.1,0.0,0.0,0.0,
568,134.86501063300165,8.662768,,,,49.0,,,,,,,1644461.0,1615117.5,1574657.6,0.0,0.0,0.0,
708,134.86502902590584,10.164187,,,,,,,,,,,549793.9,526513.4,498122.62,0.0,0.0,0.0,
799,134.86537594967638,10.410506,,,,6.0,,,,,,,5940295.5,5890653.0,5912237.0,0.0,0.0,0.0,
624,134.8945506626714,8.946092,,,,20.0,,,,,,,73482540.0,62702740.0,73011730.0,0.0,0.0,0.0,
495,134.8945567233916,8.215,,,,2.0,,,,,,,9967519.0,10249971.0,11189410.0,0.0,0.0,0.0,
468,134.89459066461322,7.894492999999999,,,,9.0,,,,,,,6407225.0,6174287.0,6139687.0,0.0,0.0,0.0,
653,135.97080815030526,8.968635,,,,4.0,,,,,,,929604.9,879221.3,979152.4,0.0,0.0,0.0,
574,135.97084065682816,8.696038,,,,,,,,,,,1607749.2,1478917.0,1516780.8,0.0,0.0,0.0,
540,136.02163129293106,8.420563000000001,,,,,,,,,,,0.0,0.0,0.0,4908357.5,4750310.0,4705572.0,
30,136.03948262867408,1.7421871,,,,12.0,,,,,,,0.0,0.0,0.0,2348383.2,2152909.8,4251467.5,
805,136.86275797795219,10.414064999999999,,,,6.0,,,,,,,1815855.4,1822365.2,1793428.9,0.0,0.0,0.0,
42,138.05508238892747,2.8335507,,,,41.0,,,,,,,0.0,0.0,0.0,729429.0,699165.94,635383.44,
27,138.0550898729762,1.6896406000000002,,,,,,,,,,,0.0,0.0,0.0,2169571.0,2189070.2,3493681.5,
752,138.99532350947152,10.331832,,,,15.0,,,,,,,0.0,0.0,0.0,4209994.0,4422416.5,4454389.5,
832,139.01789108739703,10.520472999999999,,,,39.0,,,,,,,0.0,0.0,0.0,10097925.0,10482867.0,10117550.0,
617,139.94438143462932,8.9408455,,,,,,,,,,,6799649.5,6389596.5,6308727.0,0.0,0.0,0.0,
767,139.9878774807207,10.366261,,,,15.0,,,,,,,0.0,0.0,0.0,26880322.0,27495566.0,27274766.0,
737,140.0681798605458,10.248431,,,,,,,,,,,0.0,0.0,0.0,659295.6,560391.5,596098.6,
415,140.0682495941808,7.864447999999999,,,,63.0,,,,,,,0.0,0.0,0.0,367544.5,387615.97,402318.38,
302,140.06827301154033,7.374964,,,,44.0,,,,,,,0.0,0.0,0.0,415988.38,469224.88,470809.44,
33,140.06828125057984,2.4381814,,,,,,,,,,,0.0,0.0,0.0,43240.918,86922.38,86683.18,
61,140.0682886495974,3.7444277,,,,,,,,,,,0.0,0.0,0.0,70989.58,104845.33,104798.42,
761,141.95852633580583,10.333577,,,,,,,,,,,0.0,0.0,0.0,1692146.6,2114861.0,1749764.6,
2,141.95872405827464,0.033175692,,,,0.0,,,,,,,0.0,0.0,0.0,11490568.0,8401688.0,10876501.0,
